gene	normal_1	normal_2	normal_3	normal_4	normal_5	normal_6	tumor_1	tumor_2	tumor_3	tumor_4	tumor_5	tumor_6
gene92	4	9	1	0	2	4	0	1	1	2	0	3
gene93	2	26	15	22	21	12	33	42	34	54	37	72
gene94	2487	3107	3138	3349	2008	2301	12296	10936	10985	14624	10395	15865
gene95	2169	3115	2798	3123	1781	2798	2593	2426	2834	2549	2689	4454
gene96	598	633	657	787	507	575	798	817	672	962	543	792
gene97	35	65	45	59	26	39	44	54	57	19	56	17
gene98	87	159	187	160	71	137	166	148	148	205	120	130
gene99	564	668	828	933	566	813	730	650	921	1015	741	943
gene100	260	254	377	319	233	288	349	246	319	422	238	371
gene101	229	385	359	417	231	274	404	338	258	362	386	464
gene102	13	25	30	12	7	45	7	5	17	28	17	30
gene103	36	11	32	34	9	17	40	4	28	22	16	12
gene104	55	54	45	131	35	36	59	48	68	69	34	70
gene105	2787	3117	2148	4249	2256	3043	3453	2783	2705	2943	2765	3847
gene106	2592	2999	3105	4662	2377	3366	3495	3330	3154	3677	3173	5011
gene107	774	587	804	801	499	878	689	679	872	1196	674	949
gene108	544	807	768	841	497	718	3467	3157	3371	2529	3266	4566
gene109	122	146	190	202	142	190	154	160	173	149	192	220
gene110	6	8	2	6	4	0	0	7	0	2	0	17
gene111	290	280	193	435	199	426	1422	1143	1496	1600	1246	1862
gene112	1200	1477	1139	1618	1085	1143	1289	1611	1592	1610	1397	1629
gene113	628	893	774	1029	567	825	780	716	801	1040	585	1191
gene114	106	104	89	120	51	100	115	90	97	103	66	90
gene115	144	201	191	194	118	224	75	54	85	100	96	130
gene116	67	138	186	261	146	176	154	198	180	226	211	280
gene117	1	3	2	0	0	3	0	1	0	6	1	11
gene118	37	61	93	75	53	40	49	62	64	35	43	66
gene119	283	323	312	294	191	304	270	273	319	358	315	387
gene120	1107	1494	1640	1568	864	1599	1486	1323	1200	1897	1173	1749
gene121	48	52	45	62	33	58	43	42	57	39	53	38
gene122	53	113	54	78	73	96	80	73	104	64	76	167
gene123	179	259	212	217	171	245	246	227	226	188	210	280
gene124	198	192	231	304	234	211	268	240	218	240	220	337
gene125	621	694	591	748	350	595	713	732	674	707	573	673
gene126	46	64	60	55	63	73	54	66	58	90	46	39
gene127	2128	2380	2213	2783	1513	2400	2943	2003	2772	2892	2319	3775
gene128	2892	3536	2980	3568	2519	2957	3309	3269	2640	4141	3427	3860
gene129	11	28	30	23	24	34	6	4	14	14	14	19
gene130	613	683	772	842	410	693	689	640	717	646	478	804
gene131	2005	2011	2205	3187	1260	2180	208	233	264	370	277	370
gene132	284	221	299	315	166	208	315	241	333	333	246	282
gene133	295	334	317	328	223	321	290	286	401	413	289	490
gene134	2562	2832	2519	4712	1920	2943	2782	2721	2964	3724	2437	3418
gene135	1327	1665	1239	2456	1156	1665	632	599	478	633	550	800
gene136	195	195	245	221	159	255	277	314	264	227	169	277
gene137	939	1285	1451	1453	892	1369	1133	1386	1234	1662	1198	1745
gene138	12	1	14	3	11	7	1	4	5	6	2	6
gene139	684	1011	795	1090	562	1036	762	837	757	836	641	1229
gene140	268	379	316	477	223	488	360	265	330	367	333	641
gene141	6	10	3	7	11	18	62	21	23	57	68	84
gene142	14	2	4	8	6	9	4	1	8	8	5	3
gene143	67	93	121	143	88	72	116	149	138	112	110	133
gene144	783	768	937	1071	527	845	1134	913	1214	1095	786	1498
gene145	621	753	621	1021	448	582	775	580	633	769	650	991
gene146	793	1613	1305	1506	833	1400	1328	1470	1419	1556	1041	1734
gene147	14	7	14	6	11	9	8	4	1	6	3	1
gene148	2689	3351	2914	3245	1944	3044	3192	2787	3134	3567	3036	3804
gene149	27	57	19	59	23	38	38	22	30	23	27	39
gene150	2	10	22	2	10	2	63	131	83	150	120	115
gene151	472	535	656	954	401	554	760	556	634	804	587	713
gene152	44	61	36	35	32	36	25	33	59	22	52	65
gene153	923	1006	669	1086	755	1050	1115	805	865	1066	767	1050
gene154	58	72	74	98	60	51	69	53	73	82	72	43
gene155	609	561	402	606	307	370	462	435	485	536	416	720
gene156	822	961	1033	1061	702	810	952	784	1051	1069	761	1392
gene157	15	23	15	15	22	7	16	3	19	28	15	18
gene158	5	1	8	6	3	5	2	0	27	13	4	10
gene159	14	9	1	16	5	5	5	8	5	6	4	2
gene160	406	455	534	714	352	475	426	509	569	517	476	574
gene161	2460	2508	2585	3870	1829	2885	2937	3343	2840	2960	2492	3686
gene162	134	168	143	180	120	164	204	174	281	223	161	240
gene163	212	371	300	389	167	230	293	244	268	407	247	347
gene164	24	15	16	40	12	15	20	27	21	36	4	7
gene165	100	184	169	206	169	157	165	175	170	250	227	375
gene166	13	31	5	14	19	21	26	15	16	10	16	22
gene167	81	108	115	143	67	131	114	108	92	112	93	151
gene168	42	81	55	61	37	31	51	57	27	60	26	23
gene169	7	12	7	35	8	1	9	12	10	19	3	6
gene170	7	16	0	15	22	20	4	1	7	5	5	8
gene171	451	672	746	1016	495	639	775	613	645	882	482	1000
gene172	70	108	44	105	68	38	7	14	17	10	17	8
gene173	68	88	92	84	33	94	72	63	75	91	60	97
gene174	103	116	128	169	70	84	552	789	581	539	781	1236
gene175	81	150	78	149	67	54	64	86	68	89	98	104
gene176	5	28	13	11	6	22	9	14	8	23	21	7
gene177	1159	1580	1204	1604	1029	1302	1351	1370	1162	1471	1233	1879
gene178	285	380	209	240	148	269	131	91	169	166	103	174
gene179	763	1242	945	1537	737	808	3801	3856	3979	5248	3384	5506
gene180	687	964	943	1337	701	929	852	861	795	1087	684	1086
gene181	1938	2716	2812	3450	1881	2669	2819	3231	2674	2710	2041	3484
gene182	1705	1865	2364	2466	1136	2018	1874	1826	1826	2078	1514	2574
gene183	36	62	46	52	23	52	38	33	34	58	38	39
gene184	24	30	11	29	19	21	26	16	25	35	20	55
gene185	721	764	705	904	566	771	681	732	626	855	650	1062
gene186	455	1063	686	797	544	842	797	815	852	866	667	1060
gene187	2231	2919	2613	2828	1325	2685	3299	2268	2750	3241	2108	3253
gene188	975	1109	1000	1227	599	1072	1302	1181	1091	1215	779	1420
gene189	18	36	2	20	8	15	9	6	13	16	7	19
gene190	20	67	33	53	30	21	33	46	35	20	29	42
gene191	6	5	16	28	5	27	20	12	11	25	15	16
gene192	936	1265	987	1472	605	1058	1007	709	1056	1234	959	1198
gene193	8	6	3	10	1	2	8	15	15	5	11	8
gene194	10	0	12	11	4	11	5	14	7	6	10	6
gene195	4	12	10	6	0	2	10	7	3	2	4	47
gene196	9	12	3	9	3	3	7	9	10	2	6	10
gene197	188	260	161	211	99	186	193	222	222	198	148	304
gene198	14	2	19	8	1	1	9	4	14	11	7	7
gene199	575	903	632	729	537	687	1715	1501	1509	1797	1469	2390
gene200	619	712	678	821	573	740	749	744	758	786	585	845
gene201	1909	1969	2168	2301	1492	1637	1948	2151	2021	2231	1951	2491
gene202	79	146	141	208	97	159	54	64	47	66	39	72
gene203	1539	1646	1466	2079	1048	1516	5291	5046	4613	5840	4693	5959
gene204	99	104	117	97	69	121	72	96	106	109	123	109
gene205	9	15	6	5	3	27	9	26	25	7	24	32
gene206	87	76	108	116	69	111	49	47	43	36	24	34
gene207	3084	3608	4090	4094	2920	2950	3314	3524	4164	4434	2872	4644
gene208	80	86	80	185	119	112	141	130	164	124	123	132
gene209	31	17	21	30	19	26	15	17	27	39	23	41
gene210	28	24	21	17	16	15	28	37	44	16	33	28
gene211	159	162	156	171	148	197	1910	1324	1419	2262	1180	1454
gene212	372	405	252	477	273	339	1067	935	1122	1334	858	1328
gene213	33	43	24	59	35	39	42	81	63	73	30	57
gene214	0	19	2	4	7	3	10	10	1	0	21	0
gene215	78	120	61	165	51	138	83	134	101	131	63	136
gene216	1556	1817	1201	1743	1085	1456	1442	1474	1593	1526	1514	2344
gene217	171	220	213	277	183	201	220	186	297	300	226	290
gene218	21	47	44	47	17	38	74	55	28	28	32	72
gene219	176	158	215	267	188	191	254	219	148	261	129	330
gene220	1867	2049	2475	2109	1716	2116	2116	2095	1575	2573	1452	3173
gene221	106	160	139	210	73	120	166	142	132	173	111	109
gene222	11	8	19	35	13	7	25	18	17	34	8	27
gene223	157	166	140	232	118	174	188	162	195	232	206	304
gene224	3301	3282	3223	4633	2517	2632	3679	3222	3602	4401	2859	4481
gene225	25	38	47	55	25	41	216	129	173	171	40	67
gene226	982	1671	1086	1791	910	1209	1361	1466	1005	1641	1054	1470
gene227	26	48	43	24	21	40	28	39	37	45	42	38
gene228	16	32	12	34	21	9	15	21	41	15	18	19
gene229	8	2	9	1	2	9	2	18	4	4	8	0
gene230	7	19	16	6	17	33	35	39	30	20	24	27
gene231	35	31	38	41	27	48	42	72	27	52	43	30
gene232	14	7	15	4	8	5	19	10	16	14	7	18
gene233	21	34	31	58	25	30	25	22	26	30	28	39
gene234	3	1	3	12	5	0	0	3	3	2	2	1
gene235	2817	5525	4765	4565	2814	4251	31676	36361	34462	41771	33070	41330
gene236	1036	1026	1093	1348	808	987	992	1098	1254	1277	967	1529
gene237	8	11	6	4	1	4	11	7	6	22	3	5
gene238	1489	2301	2384	2401	1196	1628	2048	2108	1714	2132	1904	2401
gene239	109	225	155	219	142	207	209	222	145	238	210	369
gene240	56	75	86	137	44	55	89	46	75	79	79	121
gene241	6	4	8	8	3	3	1	11	3	3	4	5
gene242	193	190	190	255	121	204	229	204	193	207	190	356
gene243	5	4	2	3	3	3	6	4	5	3	7	11
gene244	13	17	8	22	8	23	5	6	3	5	6	6
gene245	125	159	105	243	100	195	230	235	242	242	145	224
gene246	129	118	85	174	78	134	118	121	152	154	93	152
gene247	7	15	9	49	14	22	3	0	5	0	4	7
gene248	2	1	10	6	7	9	17	14	23	9	7	31
gene249	160	135	171	139	63	143	142	111	131	171	87	184
gene250	2059	2611	3104	3477	1798	2614	3875	2570	3533	3110	2674	4325
gene251	34	34	50	23	21	35	39	36	34	59	71	27
gene252	12	6	8	39	10	25	9	8	15	29	13	9
gene253	18	44	33	40	19	26	13	3	9	1	3	4
gene254	144	189	172	197	138	170	195	156	191	225	188	203
gene255	0	3	8	4	0	12	0	4	9	7	3	3
gene256	780	1103	991	1166	759	1163	940	998	1084	1181	935	1566
gene257	5	20	2	3	12	8	15	2	9	19	9	8
gene258	175	208	131	320	94	178	186	173	133	252	147	232
gene259	184	253	188	268	194	166	333	251	249	267	149	336
gene260	212	349	298	389	130	330	281	315	254	452	330	343
gene261	511	560	778	704	484	553	1212	1163	1554	1571	1010	1534
gene262	12	2	6	1	4	9	6	10	23	15	1	6
gene263	23	42	28	54	30	38	50	65	36	24	51	78
gene264	2256	3506	3191	3955	2340	3208	3192	2442	3073	3553	2303	4602
gene265	80	127	118	196	99	164	61	80	75	91	76	94
gene266	18	20	1	12	7	15	26	12	7	6	21	17
gene267	1747	1683	2012	2368	1428	1543	1874	1658	2158	2145	1400	2614
gene268	20	19	6	22	13	14	12	22	25	29	18	8
gene269	1890	2372	2465	3608	1941	2464	3227	2591	2779	3584	2160	3801
gene270	1546	1927	2209	2207	1528	2069	1952	2240	1598	2471	1709	2485
gene271	12	8	8	16	15	13	17	10	6	8	21	20
gene272	857	1115	936	1501	634	1079	1386	1071	945	987	825	1455
gene273	84	80	152	127	42	87	18	26	16	17	25	41
gene274	7	19	14	10	8	4	11	23	3	21	8	16
gene275	1541	2192	2421	2523	1502	1676	1954	2455	1968	2582	1812	2699
gene276	43	42	29	89	11	38	60	29	50	45	29	73
gene277	20	42	25	29	30	34	32	51	34	54	29	81
gene278	38	81	73	100	45	76	73	46	82	90	53	117
gene279	131	185	148	112	147	85	181	124	94	157	111	140
gene280	45	79	74	89	60	64	22	10	18	15	10	11
gene281	87	117	110	114	52	121	103	115	110	86	84	120
gene282	3	2	7	8	2	6	5	5	3	6	5	14
gene283	16	10	13	10	5	23	17	26	26	4	18	29
gene284	3877	3749	4684	4452	2868	4619	4382	3364	4426	4083	3193	5162
gene285	28	42	32	41	21	54	38	46	41	25	81	41
gene286	6	5	4	34	8	19	8	11	15	16	10	23
gene287	103	128	159	154	80	95	112	151	134	130	130	142
gene288	16	5	11	0	7	8	1	2	14	14	8	3
gene289	49	77	36	43	26	36	27	23	16	39	15	35
gene290	2	4	3	0	0	1	1	9	0	9	5	0
gene291	1462	2061	1741	2179	1197	1731	1744	1711	1817	2465	1801	2187
gene292	492	616	713	763	520	573	1396	1518	1367	1635	1370	2029
gene293	23	29	38	34	19	46	51	10	40	67	32	36
gene294	29	46	51	68	57	66	43	47	59	57	62	97
gene295	37	35	9	40	52	45	43	35	42	68	15	56
gene296	8	0	8	3	10	13	2	20	8	5	2	10
gene297	820	1016	721	1027	486	697	695	576	1095	833	647	1281
gene298	203	285	302	386	218	188	255	288	272	283	290	401
gene299	22	2	8	26	4	10	7	1	11	5	14	17
gene300	2	3	16	9	5	5	7	7	11	5	1	6
gene301	123	136	147	119	87	152	13	22	17	12	17	20
gene302	86	122	131	91	64	107	82	93	103	135	83	136
gene303	6	14	5	1	11	10	16	4	2	1	16	1
gene304	42	48	26	32	27	21	12	18	23	16	22	21
gene305	1303	2091	1863	2389	1660	2005	1746	1750	2047	2085	1803	2610
gene306	2471	3159	2405	3539	1976	2661	2793	2901	3347	2756	2227	3543
gene307	67	77	58	150	36	85	62	53	96	128	81	50
gene308	7	7	5	11	9	7	19	18	12	21	12	20
gene309	47	43	26	36	40	42	6	4	1	9	12	15
gene310	26	47	25	46	35	10	14	3	19	14	10	15
gene311	18	15	12	7	3	6	25	13	1	8	7	8
gene312	2735	4160	4089	5330	3085	3479	3393	4720	4210	4613	3335	4644
gene313	106	163	159	193	147	138	144	161	148	131	111	173
gene314	5	1	5	12	4	5	15	13	1	1	3	12
gene315	14	10	20	25	12	26	26	23	16	15	15	8
gene316	2274	2648	2179	3432	2142	2794	2508	3046	3492	3281	2290	3269
gene317	25	43	38	34	24	42	26	34	28	43	31	62
gene318	350	495	397	508	363	340	373	411	284	475	329	498
gene319	1676	2347	2235	2858	1482	2401	2456	2125	1840	2565	1816	3223
gene320	3010	4288	4661	4840	2811	3538	3947	4218	4099	5019	3474	6296
gene321	74	93	108	85	48	74	92	68	138	116	106	126
gene322	32	69	76	83	33	63	86	53	39	63	63	49
gene323	20	12	12	5	3	9	9	13	8	16	8	19
gene324	13	39	30	50	21	28	387	191	175	161	171	175
gene325	218	342	184	194	121	246	227	237	263	298	193	279
gene326	2526	2959	2535	3224	1814	3210	3406	2893	2555	3811	2387	4354
gene327	24	28	84	57	39	32	46	69	54	82	39	49
gene328	1249	1529	1548	1955	961	1592	1500	1284	1598	1818	1079	2015
gene329	627	649	581	770	519	706	652	531	761	769	472	1049
gene330	574	903	764	858	508	824	244	235	240	315	188	319
gene331	2658	3026	2447	3237	1516	2545	1852	2842	3087	2848	2501	3575
gene332	0	0	15	3	6	2	2	4	3	3	3	23
gene333	16	19	12	18	7	11	14	20	25	19	1	40
gene334	40	56	56	73	53	68	56	51	78	77	48	91
gene335	304	441	591	724	363	393	2873	2283	2419	2419	1725	3052
gene336	71	137	128	165	85	92	151	106	149	146	121	162
gene337	176	178	201	303	106	164	212	171	164	223	197	261
gene338	19	29	43	37	9	51	58	72	50	61	31	55
gene339	1123	1324	1256	1228	953	1326	1133	1281	1309	1271	1054	1866
gene340	12	26	38	24	17	17	34	14	33	26	16	37
gene341	91	61	63	129	61	62	72	78	85	108	75	73
gene342	6	21	0	4	13	1	10	6	0	11	4	16
gene343	935	1083	1056	1391	689	921	1010	980	1225	1234	1131	1409
gene344	36	69	41	24	45	32	23	67	48	43	50	116
gene345	4	4	10	13	4	8	6	3	0	4	3	5
gene346	4	8	3	4	2	1	1	6	0	1	3	2
gene347	2544	3114	2654	5349	2666	3056	3583	3231	3684	3251	3184	4390
gene348	27	97	45	65	27	84	402	240	249	339	282	458
gene349	1020	1465	1356	1388	753	1243	1407	1138	1179	1350	1025	1460
gene350	2401	2614	2871	3313	1904	2436	2325	2011	2226	3073	2418	3236
gene351	49	75	92	85	72	113	72	84	98	129	70	142
gene352	211	325	207	212	153	199	735	651	736	1025	585	990
gene353	1	5	12	5	5	0	1	2	11	6	3	8
gene354	15	13	6	18	10	6	7	17	13	3	13	16
gene355	595	802	702	1093	555	592	807	869	702	829	667	1223
gene356	73	137	117	140	67	129	40	50	32	47	33	58
gene357	434	526	562	511	444	473	449	498	502	625	452	499
gene358	2552	3566	3460	4022	2150	2544	18283	19853	18252	26408	18122	30160
gene359	102	158	108	191	98	136	176	168	171	97	129	209
gene360	70	72	132	123	71	122	132	93	92	173	140	127
gene361	181	186	324	324	125	151	213	226	200	268	163	303
gene362	354	469	423	439	273	363	488	423	442	478	359	453
gene363	19	30	27	32	29	27	50	20	37	37	10	37
gene364	3284	4196	3234	4142	2379	3710	7663	9278	7515	9474	6944	11659
gene365	339	471	375	452	290	391	1766	1575	1414	1923	1102	1918
gene366	209	227	293	328	152	289	286	304	266	331	146	404
gene367	269	270	338	341	202	311	374	274	319	331	295	473
gene368	2279	2976	3244	3437	1834	2757	3146	2585	2667	3010	2414	4046
gene369	40	56	63	68	58	43	100	69	41	90	46	73
gene370	32	15	49	39	22	12	17	6	51	63	27	54
gene371	1	5	8	8	5	19	19	2	5	11	8	5
gene372	13	45	41	45	28	49	49	62	29	45	33	43
gene373	662	1045	893	847	654	787	782	941	873	964	578	1005
gene374	23	4	7	19	5	16	1	8	30	1	17	17
gene375	484	616	577	773	439	615	694	565	585	726	512	621
gene376	2902	3331	3631	4104	2781	3025	14175	15528	16267	19467	14526	19041
gene377	8	30	20	13	11	6	26	19	4	39	34	22
gene378	26	13	6	15	5	4	3	6	5	6	8	3
gene379	2	12	14	10	0	8	14	27	69	67	30	28
gene380	1153	1170	1389	1694	874	1318	1478	1384	1673	1655	1170	1941
gene381	214	305	237	301	156	191	233	194	250	231	231	197
gene382	87	110	106	132	106	137	111	73	122	156	77	108
gene383	31	71	58	30	20	56	23	42	45	58	57	48
gene384	35	31	60	22	39	31	20	32	27	42	14	30
gene385	164	288	277	403	190	223	232	270	301	364	305	353
gene386	1111	1453	1210	1519	981	1182	1011	1371	1492	1527	879	2023
gene387	3	17	9	14	0	3	3	19	3	10	2	23
gene388	3151	3607	3683	4189	2213	2659	3200	3069	2979	3546	3379	4186
gene389	20	16	10	8	2	8	31	11	17	29	15	11
gene390	20	3	3	1	5	10	6	10	4	1	3	12
gene391	1180	1788	1863	2111	895	1831	1676	1486	1552	1914	1585	2183
gene392	128	166	173	200	117	150	108	131	168	211	141	180
gene393	388	405	364	630	309	306	374	490	458	588	366	642
gene394	18	31	21	47	11	17	22	30	28	16	27	16
gene395	460	541	564	922	291	687	814	648	573	674	621	992
gene396	72	139	131	147	76	130	168	119	111	144	93	153
gene397	3707	3798	3058	4726	2420	3717	3821	4139	3512	4721	4124	4297
gene398	1755	2392	2225	3711	1435	2347	2882	2184	2370	3183	2243	2732
gene399	183	233	225	240	131	163	243	175	190	301	140	218
gene400	5	3	12	4	4	17	1	5	20	1	10	12
