gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene18	9.83768685124422149e0	1.94014208195711135e-1	5.57828274879774821e-1	3.47802750295376828e-1	7.27988330160948882e-1	9.39796242969875850e-1
gene19	1.06923643063094133e2	1.29150602866011988e-1	1.51700321382663428e-1	8.51353521791362144e-1	3.94572999995382034e-1	8.44334055459097677e-1
gene20	1.17739069271972880e2	-2.18233688010034532e0	1.87782299650967155e-1	-1.16216325189151313e1	3.19963096118925194e-31	4.41328408439896815e-30
gene21	2.45289544548013828e3	-3.68109827343193405e-2	7.23458452008207825e-2	-5.08819582273699278e-1	6.10878647238081829e-1	9.28185070597554063e-1
gene22	1.47787173088630244e1	-9.09428770106554651e-1	3.82806421554777343e-1	-2.37568838686897710e0	1.75162470951670014e-2	1.08749860096027592e-1
gene23	4.13886484897225455e3	-9.20942433475670924e-2	1.24888399213831242e-1	-7.37412313131544761e-1	4.60871625965875054e-1	8.61442291525000070e-1
gene24	2.99648593070912830e3	-3.64504817864311423e-2	8.65188241395802582e-2	-4.21301169415176258e-1	6.73535152798918624e-1	9.28185070597554063e-1
gene25	9.95750163393886289e0	-9.70554277635493734e-1	6.37076885159546191e-1	-1.52344921036090208e0	1.27646358799765575e-1	5.31859828332356566e-1
gene26	1.49048222468947245e2	1.26544375223028444e-1	1.36821584582083489e-1	9.24886052223072741e-1	3.55025190934918911e-1	8.36447516745504882e-1
gene27	6.19645006397871327e1	2.83443826689620149e-1	2.29700214151776577e-1	1.23397284471982238e0	2.17213037539264242e-1	6.87038581765857748e-1
gene28	1.32333081664453448e3	-2.33051842181087521e0	1.12628654133254527e-1	-2.06920560291306082e1	4.08421341855225486e-95	1.48516851583718368e-93
gene29	9.12635801397798758e1	-2.52776158020469210e-1	2.07562287552796931e-1	-1.21783278167124354e0	2.23287539073903751e-1	6.87038581765857748e-1
gene30	8.57591178315881734e2	-2.44517039797131641e0	9.71385959273950300e-2	-2.51719759239563956e1	8.12245366859427333e-140	4.64140209633958427e-138
gene31	7.22841685794331170e2	1.16371983184243785e-2	9.14675953375112261e-2	1.27227552834243113e-1	8.98760271702199742e-1	9.78685493568984044e-1
gene32	1.17033018025061847e3	-9.50423030257384477e-2	1.05605347544472608e-1	-8.99976234496213889e-1	3.68132903440814729e-1	8.36665689638215304e-1
gene33	5.97316163267628539e1	-2.41300400668801068e-1	2.52018434623002219e-1	-9.57471230347754498e-1	3.38329472532702791e-1	8.17392725136418363e-1
gene34	5.17479579607321057e2	-5.52836300827346597e-2	1.55398627337109713e-1	-3.55753657738601792e-1	7.22025059961058147e-1	9.39796242969875850e-1
gene35	4.25373172793776444e0	-6.01218209120316354e-3	8.60610583017892172e-1	-6.98594952216404375e-3	9.94426062361551732e-1	9.99340791286728369e-1
gene36	1.33776528564963996e3	7.22513882784345529e-2	8.46089661632628276e-2	8.53944818791629090e-1	3.93135563247527686e-1	8.44334055459097677e-1
gene37	3.69388329539973803e0	-3.46926589375038286e-1	8.19045489618016598e-1	-4.23574262690631087e-1	6.71876304248726908e-1	9.28185070597554063e-1
gene38	1.71449639957164024e1	-5.00594506990468369e-1	3.57296515188165298e-1	-1.40106182319420935e0	1.61195592394411141e-1	5.91543458328114280e-1
gene39	2.30519404640188850e3	2.52228215089637109e-2	9.03141188625258551e-2	2.79278830670510458e-1	7.80030881664996900e-1	9.39796242969875850e-1
gene40	3.11014055203256760e2	1.23542818616330749e-1	1.11049250851798273e-1	1.11250474603566540e0	2.65921208362516370e-1	7.43835547867178648e-1
gene41	6.67348274846738008e1	1.38045394400974547e-1	2.16847533937844866e-1	6.36601172695570483e-1	5.24384619095274451e-1	9.08025314450691678e-1
gene42	8.79138518327799687e1	-1.44008987624447582e-1	1.98550487415559113e-1	-7.25301607157689210e-1	4.68266993713866764e-1	8.70834154460024212e-1
gene43	3.01261706670632279e0	-1.45507768184614944e-1	9.90189795407863782e-1	-1.46949371584545185e-1	8.83171974398746729e-1	9.77617272669236814e-1
gene44	3.69506206050599394e3	5.40088018256441003e-3	7.73807974527267461e-2	6.97961297938794190e-2	9.44355848296527522e-1	9.89084233657417933e-1
gene45	8.24748585544012229e1	-1.29322153726101445e-2	2.00351120798476529e-1	-6.45477565639277495e-2	9.48534000598047267e-1	9.89084233657417933e-1
gene46	2.21885936112530499e3	-1.41389768527379811e0	9.34871907156392540e-2	-1.51239723265881647e1	1.12543862744281771e-51	2.25087725488563519e-50
gene47	2.22238962041958439e3	7.91627946685973805e-2	7.63109007038663550e-2	1.03737203909829523e0	2.99562520807728883e-1	7.83169989039814052e-1
gene48	3.64604801413251550e2	-8.85894969565088758e-2	1.47163517028236740e-1	-6.01980020221390300e-1	5.47187391010265145e-1	9.27436255949601995e-1
gene49	3.68274216673754927e3	-1.03555376730170359e-2	1.02036125495007540e-1	-1.01488934657007493e-1	9.19162287429796443e-1	9.83061269978391827e-1
gene50	3.24694807677445226e2	1.24680467157730679e-1	1.37762766582851998e-1	9.05037480375704528e-1	3.65445537358592309e-1	8.36447516745504882e-1
gene51	4.09853091675218266e1	4.39521166039886155e-2	2.86833824687233729e-1	1.53231985983223601e-1	8.78215332329208231e-1	9.77617272669236814e-1
gene52	5.28067421783828692e1	1.14241050126724156e-1	2.32813733266662076e-1	4.90697213277679900e-1	6.23640575667914532e-1	9.28185070597554063e-1
gene53	6.78887214042459988e1	3.10117747587138684e-2	2.03754209874016906e-1	1.52201884701615414e-1	8.79027704590063297e-1	9.77617272669236814e-1
gene54	1.88575334052718313e3	1.40573213436218114e0	1.13610348613736409e-1	1.23732754235402176e1	3.64642527586490208e-35	5.40211151979985554e-34
gene55	6.38551674103806288e0	6.69617060114917617e-1	7.32526932237204220e-1	9.14119373153756798e-1	3.60654130938544315e-1	8.36447516745504882e-1
gene56	7.92058286836613775e2	9.63493335481591384e-2	1.19471938609419293e-1	8.06459949253412800e-1	4.19977682244106421e-1	8.44334055459097677e-1
gene57	4.64547853663933154e2	-1.06158350246464736e-1	1.01885398169207483e-1	-1.04193880726815147e0	2.97440067336392666e-1	7.83169989039814052e-1
gene58	1.71812669393605013e1	5.78756159015538119e-1	4.09366039487564837e-1	1.41378644828479660e0	1.57424618930080862e-1	5.85828183051619988e-1
gene59	2.62013892048191934e1	5.10072430996030002e-2	3.40562724218990198e-1	1.49773417559357108e-1	8.80943377422901297e-1	9.77617272669236814e-1
gene60	1.47816441690291555e2	2.43586075543799796e-1	1.61068703696750692e-1	1.51231164064253765e0	1.30454602003877207e-1	5.35691148430651021e-1
gene61	2.82133806054931256e2	-1.86632600389653436e0	1.15399013378014642e-1	-1.61728072820083497e1	7.84410967916254653e-59	1.84567286568530510e-57
gene62	4.18976104700729229e3	7.06713442427610583e-2	1.08648380091597163e-1	6.50459253816585536e-1	5.15395573295266529e-1	9.04202760167134190e-1
gene63	8.57703580132100910e2	-1.34517237694343400e-1	1.04744667324580140e-1	-1.28423948569624802e0	1.99058185078602151e-1	6.63527283595340522e-1
gene64	2.25221726716599022e2	-3.99713029769134948e-2	1.41190254613253297e-1	-2.83102421526205350e-1	7.77098355203173941e-1	9.39796242969875850e-1
gene65	1.58346144357102639e3	1.46708798616417974e-1	7.46012922983781690e-2	1.96657181258517477e0	4.92325914226995273e-2	2.73514396792775172e-1
gene66	1.66319359867471448e1	4.86007194151020006e-1	4.82162288971932640e-1	1.00797429676071393e0	3.13466817128004005e-1	8.06886360846098993e-1
gene67	2.95117291423172823e1	-3.68749935701331910e-1	3.21494419686158939e-1	-1.14698704898611781e0	2.51386990737928806e-1	7.28657944167909633e-1
gene68	1.29849123561224474e3	-7.71368243660933289e-2	1.03947074493051142e-1	-7.42077877057039537e-1	4.58040129920932237e-1	8.60169258067478348e-1
gene69	5.43965260825242581e2	-2.87985702568142390e-2	9.59605567283390720e-2	-3.00108411608552561e-1	7.64094487983380755e-1	9.39796242969875850e-1
gene70	1.79558452244234523e1	-8.32983135929300733e-1	4.25903468380271322e-1	-1.95580265898554528e0	5.04884011484450224e-2	2.76648773416137084e-1
gene71	5.74054647684512087e0	6.49365041092801354e-1	6.74262361072560767e-1	9.63074729634685878e-1	3.35510034609357244e-1	8.17392725136418363e-1
gene72	1.06062278628203206e1	-3.26101085012892034e-1	5.04732720494796006e-1	-6.46086674731947030e-1	5.18223183903251838e-1	9.05193334328824206e-1
gene73	1.07760729130912214e1	-2.62580766585745540e0	5.96464693786516897e-1	-4.40228515318841129e0	1.07116648910509330e-5	8.40130579690269279e-5
gene74	7.48141736311883250e1	-2.02967763422021585e0	2.10244561297606908e-1	-9.65388888869829920e0	4.73261690667543089e-22	5.73650534142476431e-21
gene75	1.65982446626198836e1	4.88572039631281041e-1	4.38203184588212280e-1	1.11494406433947146e0	2.64874410013810513e-1	7.43835547867178648e-1
gene76	6.48929325153601781e2	1.34388683017047206e-1	1.09628639058909932e-1	1.22585379304793007e0	2.20253714404369083e-1	6.87038581765857748e-1
gene77	5.68888564370997063e0	-8.70128532543816169e-1	7.12042804721099376e-1	-1.22201716915689862e0	2.21701149106708406e-1	6.87038581765857748e-1
gene78	5.67087973880901757e1	1.85384444633456463e-1	2.26645085199322138e-1	8.17950428840849675e-1	4.13385485461969904e-1	8.44334055459097677e-1
gene79	1.60958504796355896e2	-1.24347343561959270e-1	1.84095733977869547e-1	-6.75449348418400985e-1	4.99390285893797525e-1	8.91768367667495565e-1
gene80	2.88243657573919387e0	5.27262364743613432e-1	1.03101101358697789e0	5.11403232162594867e-1	6.09068687000333453e-1	9.28185070597554063e-1
gene81	2.64817304986111935e2	9.42625360953444208e-2	1.51874584413190877e-1	6.20660372237748503e-1	5.34823063980869207e-1	9.16585215558589295e-1
gene82	3.13035421581287174e1	1.99663009544940873e0	3.43339562801002030e-1	5.81532194880391895e0	6.05172930192496998e-9	5.50157209265906404e-8
gene83	5.36964353218737429e1	3.06521796899494992e-1	2.31340663169889216e-1	1.32498019457303617e0	1.85177730097071558e-1	6.27721118973123882e-1
gene84	3.76065507944731678e2	6.41807175415063380e-2	1.28269339553285705e-1	5.00358992764941668e-1	6.16822278663981427e-1	9.28185070597554063e-1
gene85	9.17160136378813604e2	2.20553633632043944e-1	1.23502335916788927e-1	1.78582560398407697e0	7.41274951076368038e-2	3.75329089152591389e-1
gene86	2.02948592596849920e2	-1.32044867805749755e-1	1.36256959836112995e-1	-9.69087142150907743e-1	3.32501725158903361e-1	8.17392725136418363e-1
gene87	2.12061312484423006e1	1.87991554415453094e-1	4.04945852432817777e-1	4.64238745219996252e-1	6.42476668284133079e-1	9.28185070597554063e-1
gene88	9.68433036335936315e0	-1.89169869787816386e-1	6.09553112885435899e-1	-3.10341897677045286e-1	7.56300994306602914e-1	9.39796242969875850e-1
gene89	7.45197872266167849e0	1.38883324007552766e0	6.11486912805052740e-1	2.27123951632027765e0	2.31324804635838349e-2	1.38104360976619905e-1
gene90	3.92453866191957204e1	-2.63513152729481226e-1	2.89996630606444428e-1	-9.08676601443331844e-1	3.63520865195741172e-1	8.36447516745504882e-1
gene91	4.27094393007835208e2	-1.62956259897425959e-1	1.13283952978219721e-1	-1.43847610904570389e0	1.50299015450112428e-1	5.72567677905190142e-1
gene92	2.26643211316497828e0	-1.77515995986061004e0	1.10079622129019361e0	-1.61261451077659479e0	1.06828281717978230e-1	4.64470790078166218e-1
gene93	2.92146524530813565e1	1.29911505313029885e0	3.44948200342984290e-1	3.76611633815912095e0	1.65806569616230192e-4	1.25137033672626571e-3
gene94	7.20003809343925241e3	2.04126726043482964e0	7.90178193158138503e-2	2.58329991653706728e1	3.77782585701661450e-147	2.51855057134440955e-145
gene95	2.70091535296857865e3	1.76487581968607266e-3	1.00389685866362544e-1	1.75802504456030705e-2	9.85973674474044048e-1	9.99340791286728369e-1
gene96	6.79885659997644098e2	1.30994625356231409e-1	1.04615757455791922e-1	1.25215004452447376e0	2.10515208499849310e-1	6.73648667199517881e-1
gene97	4.29177095091086116e1	-1.80492290579889275e-1	3.24867683910117722e-1	-5.55587088279998698e-1	5.78493112219890859e-1	9.28116350725669781e-1
gene98	1.38919502433791536e2	7.77917414483793451e-2	1.75072769610647994e-1	4.44339468789942682e-1	6.56797138629377164e-1	9.28185070597554063e-1
gene99	7.62510281573550515e2	4.53342961293294114e-2	1.02223524886377787e-1	4.43482028033359510e-1	6.57417084859214684e-1	9.28185070597554063e-1
gene100	2.99852453510571536e2	-7.86313460634086069e-4	1.29437060571263612e-1	-6.07487111623002986e-3	9.95152985976121895e-1	9.99340791286728369e-1
gene101	3.33855556110871873e2	9.44140035663881549e-2	1.33872546071507337e-1	7.05252916576019961e-1	4.80652825352375190e-1	8.85995991432949714e-1
gene102	1.90189377211525787e1	-5.19656772039609249e-1	4.48777572083879361e-1	-1.15793837385100451e0	2.46889203131311158e-1	7.26144715092091664e-1
gene103	2.14100969051048686e1	-3.06877246369853252e-1	4.42781728034653210e-1	-6.93066644217613770e-1	4.88267696602244949e-1	8.87518179371006077e-1
gene104	5.60456368243567411e1	-1.46057156446779385e-1	2.50915186853690075e-1	-5.82097713088789881e-1	5.60500818156538849e-1	9.28116350725669781e-1
gene105	2.94564267429873553e3	-7.02474711608697122e-2	1.06654712808928825e-1	-6.58643854648200744e-1	5.10124455853762537e-1	8.98897719566101427e-1
gene106	3.31428792471225279e3	4.97813425575072965e-2	8.48514973682245460e-2	5.86687849967743369e-1	5.57413322259593058e-1	9.28116350725669781e-1
gene107	7.65528716612464791e2	5.13864136647480957e-2	1.27470473912443205e-1	4.03124049731268363e-1	6.86856952242190011e-1	9.28185070597554063e-1
gene108	1.94232484646050966e3	2.14932987593607550e0	1.09233349641283867e-1	1.96764988256274620e1	3.42887507501348525e-86	1.14295835833782834e-84
gene109	1.67696529426150960e2	-6.48687714031222773e-2	1.49655643312270992e-1	-4.33453560236063407e-1	6.64685269236674148e-1	9.28185070597554063e-1
gene110	4.07311500900778878e0	-2.93419662008364168e-1	9.87590984028631436e-1	-2.97106460825950158e-1	7.66385257673897868e-1	9.39796242969875850e-1
gene111	8.32395684226922185e2	2.12067748771306386e0	1.36479069835519107e-1	1.55384813969559392e1	1.90442925043360920e-54	4.23206500096357582e-53
gene112	1.37589697089821379e3	1.05140678001553231e-1	9.85350621376352293e-2	1.06703822700889139e0	2.85954591760243793e-1	7.68811472731371626e-1
gene113	7.92994936401926225e2	-4.41112207167040291e-2	9.45622090654114483e-2	-4.66478323134255524e-1	6.40873123036278192e-1	9.28185070597554063e-1
gene114	9.22620819284338154e1	-1.58337442980356458e-1	1.76720479186955104e-1	-8.95976763467515536e-1	3.70265178428078545e-1	8.36757465374188825e-1
gene115	1.33515103868483237e2	-1.14284380977260702e0	1.67158681864893660e-1	-6.83687976611536641e0	8.09366049698639317e-12	8.30119025331937781e-11
gene116	1.79382875528241101e2	2.26707675099422107e-1	1.87577381721251213e-1	1.20860880463893205e0	2.26813187505754937e-1	6.92559351162610470e-1
gene117	2.06081852683348776e0	7.94559302638915499e-1	1.19525567958792145e0	6.64760951324530946e-1	5.06203364342577067e-1	8.95935158128455034e-1
gene118	5.57343863250039888e1	-3.10447344531689429e-1	2.42992409975439111e-1	-1.27760099405190664e0	2.01390162093005809e-1	6.63552867982332484e-1
gene119	2.96600170033778625e2	1.88875965991629723e-2	1.15993409506729747e-1	1.62833359925221827e-1	8.70649647196703347e-1	9.77617272669236814e-1
gene120	1.38695705071368661e3	-5.29611887513268473e-2	1.01235003672782722e-1	-5.23150954016961101e-1	6.00869162826003667e-1	9.28116350725669781e-1
gene121	4.71695692896907062e1	-2.51722281921447300e-1	2.30437985745682333e-1	-1.09236452968849895e0	2.74672924879980240e-1	7.57718413462014406e-1
gene122	8.37184538588303866e1	8.75068877652375177e-2	2.27811766150017331e-1	3.84119263214934115e-1	7.00890045407507212e-1	9.28331185970208250e-1
gene123	2.18727949112663964e2	-4.95047243635430845e-2	1.33887500621279742e-1	-3.69748663122589694e-1	7.11569766122560843e-1	9.37835317775752242e-1
gene124	2.37580028118781087e2	-1.54278743784332078e-2	1.36214371902733999e-1	-1.13261722408041651e-1	9.09823021550419608e-1	9.79162934194272805e-1
gene125	6.25571245218965828e2	5.07944794888253934e-2	1.08554854225127603e-1	4.67915321257626471e-1	6.39845109042741722e-1	9.28185070597554063e-1
gene126	5.95119628565615812e1	-2.00348929221593031e-1	2.37947749657649366e-1	-8.41987072833627725e-1	3.99795185832064803e-1	8.44334055459097677e-1
gene127	2.43593950917357870e3	1.61063124019261483e-1	8.90696051710970077e-2	1.80828379905658654e0	7.05623373500958856e-2	3.61858140256901994e-1
gene128	3.20772005516534773e3	8.91929073303278190e-3	9.80312910474132188e-2	9.09841198431114440e-2	9.27505145444839529e-1	9.85284536982206527e-1
gene129	1.84879898631266890e1	-1.25600339985573450e0	3.90040062034642365e-1	-3.22019074990347898e0	1.28105333492295058e-3	9.15038096373536024e-3
gene130	6.49382438244385980e2	-1.55082180312119067e-1	9.56488168012824685e-2	-1.62137060863297267e0	1.04938177816789394e-1	4.61266715678195161e-1
gene131	1.21924149686023452e3	-3.03241140550491695e0	1.15360491833883180e-1	-2.62863945645405970e1	2.74389809093792627e-152	2.19511847275034108e-150
gene132	2.64876440457312810e2	8.63250004371929752e-2	1.37830251358898925e-1	6.26313886727301927e-1	5.31109036228344156e-1	9.15705234876455387e-1
gene133	3.23733015484987334e2	8.53950951249516088e-2	1.13532951561585521e-1	7.52161323654387259e-1	4.51954028488274262e-1	8.52743449977875989e-1
gene134	2.87298746859702487e3	-8.27935144856353916e-2	9.54706076613433680e-2	-8.67214701087096973e-1	3.85824383350391265e-1	8.44334055459097677e-1
gene135	1.09382526460098006e3	-1.49820699132015989e0	1.10009774510528652e-1	-1.36188533972203683e1	3.09387022107102107e-42	5.89308613537337268e-41
gene136	2.29107138423872669e2	1.13120319820645396e-1	1.46865987728833497e-1	7.70228162217554968e-1	4.41164543977378532e-1	8.44334055459097677e-1
gene137	1.27904690743165133e3	2.78399998026465680e-2	9.27283908276001906e-2	3.00231671812427436e-1	7.64000472860183355e-1	9.39796242969875850e-1
gene138	6.29816362042905187e0	-1.27682320726139209e0	6.78324705021866703e-1	-1.88231859728628348e0	5.97927662459926609e-2	3.14698769715750837e-1
gene139	8.29560190864161427e2	-1.82072664505299325e-1	1.03896925583295108e-1	-1.75243553630785742e0	7.96989410114047891e-2	3.98494705057023946e-1
gene140	3.57605812269876708e2	-5.86119709554089874e-2	1.47755572376051081e-1	-3.96681966120616458e-1	6.91601986009723890e-1	9.28308551509596347e-1
gene141	2.92504745608447472e1	2.32661606405913268e0	4.09042789499288240e-1	5.68795276138996986e0	1.28571364855929881e-8	1.11801186831243376e-7
gene142	6.12720644924304381e0	-7.58355166686974114e-1	6.43436482785743613e-1	-1.17860144237344566e0	2.38556933402109900e-1	7.17464461359729078e-1
gene143	1.09457572003921385e2	2.45452813220102595e-1	1.77363436769107846e-1	1.38389748017588121e0	1.66389855157651090e-1	5.99603081649193181e-1
gene144	9.31174705854494846e2	2.76814231959377988e-1	9.81944407659090662e-2	2.81904178892662705e0	4.81672468162379526e-3	3.32187909077503105e-2
gene145	6.82335021914387426e2	-1.63512384334026858e-2	1.05641793610552356e-1	-1.54780015319329001e-1	8.76994746087878640e-1	9.77617272669236814e-1
gene146	1.29285395204963538e3	6.06383464755741591e-2	1.06993824789784212e-1	5.66746226660399977e-1	5.70886561405696047e-1	9.28116350725669781e-1
gene147	7.37276215077698538e0	-1.59637272709577238e0	6.08865210577405724e-1	-2.62188198531146632e0	8.74457026699405893e-3	5.82971351132937216e-2
gene148	2.99409005561088634e3	3.81991634435669761e-2	7.78203614374121805e-2	4.90863351672929937e-1	6.23523056976402978e-1	9.28185070597554063e-1
gene149	3.25877766027222151e1	-4.34586048720629448e-1	2.90797981861478205e-1	-1.49446033269806100e0	1.35055344017894430e-1	5.35691148430651021e-1
gene150	5.60695039589434501e1	3.60676989476091014e0	5.60492495323521855e-1	6.43500122633942961e0	1.23472320684539426e-10	1.20460800667843336e-9
gene151	6.16564983714862933e2	6.19642972153835875e-2	1.12729492923572150e-1	5.49672455791084480e-1	5.82544004559995221e-1	9.28116350725669781e-1
gene152	4.13220080486384447e1	-9.20888420759394116e-2	2.95262178984316226e-1	-3.11888377958597252e-1	7.55125375929487697e-1	9.39796242969875850e-1
gene153	9.16728620572442537e2	-1.16370315782324998e-1	1.17197276185072488e-1	-9.92943859877412183e-1	3.20737328436324354e-1	8.06886360846098993e-1
gene154	6.65585422503391442e1	-1.98681445936032652e-1	2.17929223209489181e-1	-9.11678768959983898e-1	3.61937850335105171e-1	8.36447516745504882e-1
gene155	4.80493988374323010e2	-6.60569099044248098e-2	1.34080981536640498e-1	-4.92664277568503284e-1	6.22249779988982232e-1	9.28185070597554063e-1
gene156	9.26025198813454494e2	-1.15516216302861633e-2	9.19360287004879206e-2	-1.25648473112966397e-1	9.00010162491184484e-1	9.78685493568984044e-1
gene157	1.63071439612383067e1	-1.83959722902693246e-1	4.31947904356465961e-1	-4.25884050014698257e-1	6.70192312591158412e-1	9.28185070597554063e-1
gene158	6.62970102003183559e0	8.17015655043452194e-1	7.31049986325479795e-1	1.11759205297310360e0	2.63741282077075867e-1	7.43835547867178648e-1
gene159	6.65244564336690036e0	-8.44194954426222277e-1	6.23548543402001165e-1	-1.35385602830599594e0	1.75782322688377013e-1	6.22238310401334593e-1
gene160	4.89456654408695783e2	-6.35575038155132416e-2	1.03668883931629610e-1	-6.13081779267826255e-1	5.39822222459438006e-1	9.18846336101171057e-1
gene161	2.79316840704202150e3	4.45306492363834114e-2	8.75431761760241955e-2	5.08670706062172795e-1	6.10983014201271324e-1	9.28185070597554063e-1
gene162	1.77825567051239176e2	3.42245467190419650e-1	1.35626802422347981e-1	2.52343534668502967e0	1.16214422318880132e-2	7.60856948141680201e-2
gene163	2.79770440682771493e2	-1.65246368213462329e-2	1.31860984258058089e-1	-1.25318621837424982e-1	9.00271281466621720e-1	9.78685493568984044e-1
gene164	1.91407888777201585e1	-2.04402473620074937e-1	4.32193558119730981e-1	-4.72941971901046032e-1	6.36254540782347999e-1	9.28185070597554063e-1
gene165	1.89691808896860977e2	2.89349629974474054e-1	1.74685888096427017e-1	1.65639957026610185e0	9.76409249239573729e-2	4.48923792753826933e-1
gene166	1.73518539682052158e1	-1.43531466952409426e-1	4.12493233933001802e-1	-3.47960778856610697e-1	7.27869645017221401e-1	9.39796242969875850e-1
gene167	1.06426587664177362e2	-8.41830487727886351e-2	1.54502009873858870e-1	-5.44867013972949454e-1	5.85844936781921954e-1	9.28116350725669781e-1
gene168	4.53885437251470876e1	-4.55909548291811406e-1	2.91137653833912768e-1	-1.56595872189001395e0	1.17358280102939916e-1	4.99396936608254960e-1
gene169	1.01264366846271034e1	-3.18124357061490282e-1	5.71560992576400029e-1	-5.56588642670479028e-1	5.77808467371543233e-1	9.28116350725669781e-1
gene170	9.55199645791286933e0	-1.64582342226083767e0	6.27255641427277189e-1	-2.62384793943961903e0	8.69425884342298928e-3	5.82971351132937216e-2
gene171	6.76180997331041567e2	-1.81203575424681573e-2	1.15625780011159834e-1	-1.56715548562952306e-1	8.75469033437922928e-1	9.77617272669236814e-1
gene172	4.32845887830559661e1	-2.69030540554678188e0	3.29657924109260647e-1	-8.16090015981268202e0	3.32536938997820343e-16	3.80042215997508929e-15
gene173	7.40422500660832128e1	-1.44447340123173867e-1	1.89560523075828463e-1	-7.62011719420038092e-1	4.46052990797036253e-1	8.49624744375307217e-1
gene174	4.02922471525786477e2	2.60808331513334979e0	1.70313743267689693e-1	1.53134049260728720e1	6.22196021458701687e-53	1.30988636096568785e-51
gene175	8.86678009600675949e1	-3.01114795813235858e-1	2.17057484913425802e-1	-1.38725829212172336e0	1.65363022676923932e-1	5.99603081649193181e-1
gene176	1.36981292526800136e1	-1.38086615027245757e-1	4.77722146806553227e-1	-2.89052152910051208e-1	7.72541495990397675e-1	9.39796242969875850e-1
gene177	1.33316200541375952e3	-5.16698309578076248e-2	8.75366033775466235e-2	-5.90265431421355347e-1	5.55012664348327744e-1	9.28116350725669781e-1
gene178	1.95947160662626516e2	-1.04211863904409263e0	1.75140970756828551e-1	-5.95017050859563934e0	2.67863268475077271e-9	2.49175133465188184e-8
gene179	2.49285985223114403e3	1.95589600450982970e0	1.00510645156229692e-1	1.94595905883368268e1	2.41707931495671827e-84	7.43716712294374820e-83
gene180	8.87066720607114917e2	-1.94729774652854681e-1	8.87831055730338020e-2	-2.19332015247729961e0	2.82843180954270856e-2	1.61624674831011922e-1
gene181	2.63245302225643763e3	-6.01500606775066948e-3	9.16400487880067588e-2	-6.56373075669714617e-2	9.47666504853156622e-1	9.89084233657417933e-1
gene182	1.88262202408937719e3	-1.24795293175454389e-1	8.84294780328556129e-2	-1.41124086618590239e0	1.58173609423937406e-1	5.85828183051619988e-1
gene183	4.15657922175069174e1	-3.04984173320121177e-1	2.39242694447257848e-1	-1.27478991166167588e0	2.02383624734611411e-1	6.63552867982332484e-1
gene184	2.48818980261266915e1	2.06174859265464333e-1	3.23154848464033195e-1	6.38006393050950527e-1	5.23469476646102105e-1	9.08025314450691678e-1
