gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene19	1.04993388580731906e0	-1.99837312302807590e0	1.50726158778024955e0	-1.32583032648704879e0	1.84895915103125280e-1	6.77851188734858834e-1
gene20	8.81005109722356128e-1	2.62130700867701760e0	3.00787943071170227e0	8.71480080588463935e-1	3.83492078712891149e-1	8.65373861885252893e-1
gene21	7.86427319845960483e2	-1.08088536711586566e-1	1.05158426009301101e-1	-1.02786377481559410e0	3.04013928094541364e-1	8.14059068761794458e-1
gene22	1.05632660935512675e2	2.23108713427223916e-2	1.77107404504561555e-1	1.25973679108079051e-1	8.99752731436277098e-1	9.92088092998167581e-1
gene23	5.77047289305370555e2	2.61172161908107214e-1	1.37029615827995305e-1	1.90595412772623019e0	5.66561528425424607e-2	3.55398322316345217e-1
gene24	2.89192782700353916e1	-3.35227767088697115e-1	3.05449319461726376e-1	-1.09749063340343134e0	2.72426990775757605e-1	7.85989700819790471e-1
gene25	1.31108708552802284e2	1.16894910545160324e-1	1.53230438588594808e-1	7.62870038237043913e-1	4.45540887754524439e-1	8.91142256961955481e-1
gene26	8.58250609062411574e-1	-1.42964619819528038e0	1.70423754873008981e0	-8.38877302791843360e-1	4.01538161612377098e-1	8.72855111707147580e-1
gene27	4.01427070062172930e1	-2.73202577109574220e-2	2.90278427436521935e-1	-9.41174235792351932e-2	9.25015818924831867e-1	9.93766132701380478e-1
gene28	2.64688656221457677e2	2.64049358327277765e-2	1.58013470633747904e-1	1.67105600091086881e-1	8.67286968774350742e-1	9.88691116862586150e-1
gene29	1.58990216180828425e-1	-8.46036661317962291e-1	3.04078939673568849e0	-2.78229285535588011e-1	7.80836386454002884e-1	9.80520808876452099e-1
gene30	4.43044863384363907e1	-1.01981065151221684e-1	2.75475562653147321e-1	-3.70200043042026805e-1	7.11233441081175255e-1	9.69168137181581124e-1
gene31	3.17076239159906725e0	-2.16819902220153571e0	1.06229101828864558e0	-2.04105935649772441e0	4.12449237690775475e-2	2.86477695296138202e-1
gene32	2.80199602096115150e1	8.61689073558802865e-2	3.29813630474227792e-1	2.61265452346468918e-1	7.93887840785916787e-1	9.82625695005485578e-1
gene33	1.98905499032984459e1	6.19230991289193455e-1	3.69239072598527118e-1	1.67704622084370247e0	9.35334403531382086e-2	4.83159132399608948e-1
gene34	9.04249814427373508e2	-2.47577255653391864e-1	1.09313626972925418e-1	-2.26483433501581022e0	2.35228455360325731e-2	1.85878980447102771e-1
gene35	1.52257068407740341e1	-2.44851393736308820e-1	4.72840973357204042e-1	-5.17830322524392872e-1	6.04576614161621895e-1	9.49742745766717800e-1
gene36	1.15110112519565817e2	-1.68307309131494498e-1	1.75519165553774503e-1	-9.58911288123287631e-1	3.37603449506364728e-1	8.38287957290349217e-1
gene37	1.25277714365902284e2	4.34741678422651601e-1	1.67758252738377384e-1	2.59147714837397958e0	9.55648841976340126e-3	8.59437083562566845e-2
gene38	1.46223816265799620e1	7.09327569890951581e-1	3.56685363289466928e-1	1.98866464087369632e0	4.67382271171610103e-2	3.12490035767094165e-1
gene39	1.19850450208093253e1	-3.51744073472068763e-1	4.31974800834137029e-1	-8.14269889801108926e-1	4.15490346515697273e-1	8.79667174727645995e-1
gene40	1.46704093757665476e2	4.65682230081396267e-2	1.79047327670644463e-1	2.60088902827979362e-1	7.94795232074685942e-1	9.82625695005485578e-1
gene41	6.15606038719614812e0	4.93398667658950241e-1	5.54240522104641142e-1	8.90224817531108159e-1	3.73345185276748703e-1	8.60753499011526535e-1
gene42	5.29132522981949620e1	2.26036618624701514e-2	2.20148956977530341e-1	1.02674399065071240e-1	9.18221340385335760e-1	9.93766132701380478e-1
gene43	1.57845422263809809e2	1.30663379766264826e-1	1.58234651475109650e-1	8.25757054780243416e-1	4.08941913417710967e-1	8.76614738493936119e-1
gene44	5.19203848351773286e3	-1.02254996279535854e-1	1.19369220552626207e-1	-8.56627829235550475e-1	3.91650599459817728e-1	8.68570225391974815e-1
gene45	5.05092990456309376e0	-9.10753726124396867e-1	7.70046830447414288e-1	-1.18272511503648259e0	2.36918123503146366e-1	7.50750581681378981e-1
gene46	6.99231639557282705e1	-4.16639717656212993e-1	2.38739728235503434e-1	-1.74516290495740667e0	8.09565119649449522e-2	4.45562642073843718e-1
gene47	1.14199908664416668e2	-3.16244968177511257e-2	1.92304318548912390e-1	-1.64450268493099239e-1	8.69376700708673011e-1	9.89311269823739181e-1
gene48	5.30442532450352360e2	1.66725685247973399e0	1.31537065988415219e-1	1.26751865715673873e1	8.11653466751532091e-37	2.73696141097991265e-35
gene49	2.38368885452502354e2	3.18489636995162098e-2	1.44158869145800367e-1	2.20929616666905138e-1	8.25147269976185260e-1	9.84759973047995896e-1
gene50	4.49450745159962753e3	1.31915754330232837e-1	1.15746527151920131e-1	1.13969513881906970e0	2.54413350453565279e-1	7.68310209313437631e-1
gene51	1.77477476784619874e1	-3.30299291822204355e-1	3.89601408779252811e-1	-8.47787724528868747e-1	3.96556198091467582e-1	8.70279201894777144e-1
gene52	1.38255752640320058e1	-5.45572627018126449e-2	5.29996336845912075e-1	-1.02938942986834814e-1	9.18011377652880545e-1	9.93766132701380478e-1
gene53	1.24337722862439879e1	-3.36682871665094696e-1	5.33963202451770425e-1	-6.30535718789545618e-1	5.28344097958459269e-1	9.21751974864714718e-1
gene54	3.64386654734569770e0	-2.66874690698095829e-1	7.39026321932015340e-1	-3.61116624371934369e-1	7.18012266598503257e-1	9.71007745612440631e-1
gene55	1.19981699550698355e1	1.39933501946684213e0	4.39605126504824084e-1	3.18316355997155620e0	1.45675307467219213e-3	1.49570489567965557e-2
gene56	6.19337216426718840e0	1.52940350965384542e0	1.09532896338384456e0	1.39629605422739544e0	1.62625367601725357e-1	6.41734711065308217e-1
gene57	4.14699387670263491e2	-3.59584086713838347e-2	1.33113400387814523e-1	-2.70133649704853762e-1	7.87057468113675940e-1	9.81696588090372302e-1
gene58	3.46942961375032795e1	-1.01956092127120611e-2	3.09826293613591153e-1	-3.29075014705750291e-2	9.73748281955087669e-1	9.95272823422040376e-1
gene59	4.99693068313704316e2	6.47187670642900698e-2	1.22615170505534790e-1	5.27820226465115061e-1	5.97624070434947252e-1	9.46790067777127264e-1
gene60	3.04373303540519764e1	-2.94829811470719561e0	3.60167780512769209e-1	-8.18590188858569512e0	2.70271840440695730e-16	5.11514483204427825e-15
gene61	2.18466109268337186e3	3.93425294776357098e-2	9.77242383105994261e-2	4.02587220507079846e-1	6.87251895797806656e-1	9.65354753892156636e-1
gene62	4.00032582992236655e2	8.97359379394329637e-2	1.26522027716073515e-1	7.09251499990248835e-1	4.78168390257613873e-1	9.04158127561105140e-1
gene63	2.12721173052501200e2	2.63516027364080696e-1	1.79788070746076861e-1	1.46570362688999967e0	1.42729048473560771e-1	6.07370674363234442e-1
gene64	8.53617690155119107e1	3.94532123575346283e-2	2.07099548885583989e-1	1.90503613213234446e-1	8.48914535460894681e-1	9.85898868306747667e-1
gene65	2.33208110030449143e3	-3.93576101415035809e-2	1.01211118094522712e-1	-3.88866469242508173e-1	6.97374916228501007e-1	9.67388164159571740e-1
gene66	5.04029062405880381e1	4.15950396710647319e-1	2.32704849534509067e-1	1.78745908193444736e0	7.38633152312759694e-2	4.22994830242557129e-1
gene67	2.45870771435325264e-1	-1.26362600674912628e0	3.03114519171131525e0	-4.16880725543771147e-1	6.76765630324002276e-1	9.64766045495786262e-1
gene68	1.05553268604616778e3	2.66608552876825033e0	1.14963435206967973e-1	2.31907260249183835e1	5.64824334832123714e-119	1.38967705788511028e-116
gene69	1.05680663450033293e2	-1.89617981111892342e0	1.81071355000865131e-1	-1.04720032117165296e1	1.16158481354128603e-25	2.91551936386200094e-24
gene70	5.32073130148656093e-1	1.17417451147222818e0	2.56122306122482213e0	4.58442893650472250e-1	6.46634246058954254e-1	9.57386397840082060e-1
gene71	7.26035257382982763e2	-2.97414372788826833e-2	1.19744309598866727e-1	-2.48374535529195251e-1	8.03844669496968200e-1	9.84203688550613909e-1
gene72	3.32979804325040618e0	2.97509199225813592e-1	9.91861310883394798e-1	2.99950402300538321e-1	7.64215012621896062e-1	9.78092107879385164e-1
gene73	1.09970395586308413e2	-5.36204474961592625e-1	1.91786152758413930e-1	-2.79584561893282268e0	5.17641205389222231e-3	4.92649072693496226e-2
gene74	5.08516872525615184e1	-1.13578933287873896e0	2.16993418647647290e-1	-5.23421097265179025e0	1.65691110992957136e-7	2.18245746925224265e-6
gene75	2.94746140838685278e2	2.69004435521038365e0	1.60761730887355930e-1	1.67331139093996804e1	7.52017385579361515e-63	4.55530531222221748e-61
gene76	2.52342044513205082e1	3.08183247334003874e-1	2.93229903827380178e-1	1.05099528837763589e0	2.93260770906251078e-1	8.05199049174666670e-1
gene77	1.48422827953473757e3	1.49305998477490653e-1	1.14010269031483660e-1	1.30958377474102927e0	1.90336690850970436e-1	6.87170591457225144e-1
gene78	2.79940797471963663e2	-1.96894561575402166e-1	2.47225708845753539e-1	-7.96416208066154430e-1	4.25790148628580167e-1	8.84242812553403978e-1
gene79	4.68107955370264683e0	-9.67852663851888728e-1	8.14501091092456608e-1	-1.18827669408490055e0	2.34724432630692426e-1	7.48331981746451658e-1
gene80	5.09542372490514666e1	2.31435297538663209e-1	2.64503431147256718e-1	8.74980322693116541e-1	3.81584614174741765e-1	8.64128323494693817e-1
gene81	2.91879424653092556e0	2.03627101802120514e0	1.00382927274903166e0	2.02850332551548895e0	4.25089003333166682e-2	2.92932183520977829e-1
gene82	5.48188261460338708e2	5.76979511656790997e-2	1.10835776556423390e-1	5.20571542495637085e-1	6.02665231624713305e-1	9.48843613006317588e-1
gene83	3.83760006201353349e2	-2.50194365381507855e-1	1.29278535745249779e-1	-1.93531249359544999e0	5.29519556299821378e-2	3.40852559350747430e-1
gene84	4.55276936240904095e-1	-1.04300850888173247e0	2.25778824277797252e0	-4.61960288888039972e-1	6.44109762341807945e-1	9.57302069782227649e-1
gene85	2.24619064673413703e2	2.34891235391391229e0	2.81438545408795315e-1	8.34609328477756485e0	7.05580809571524550e-17	1.36387196449572388e-15
gene86	7.03464510980010800e2	-8.01807750053849938e-2	1.07993952883308750e-1	-7.42456154855477224e-1	4.57810984463066672e-1	8.96751935465201488e-1
gene87	4.22161795737937595e1	3.95047300474733257e-2	2.60784158200358107e-1	1.51484393530998906e-1	8.79593617384472837e-1	9.90922622999161007e-1
gene88	3.20422544977889103e1	1.29395033234923934e-1	3.01822418384641522e-1	4.28712465851437519e-1	6.68132461449360227e-1	9.63055968770743509e-1
gene89	3.33466486521843493e1	-2.64571353941920440e-1	3.24007893180382978e-1	-8.16558360183611831e-1	4.14180851223081736e-1	8.79155480104575227e-1
gene90	1.41659625921650991e3	2.70673215391596633e0	1.11257917502909268e-1	2.43284452438648984e1	9.80510373224646037e-131	3.15170826257967301e-128
gene91	1.91224079019525495e0	2.48459347791088192e-1	9.73094430704108504e-1	2.55329123208842934e-1	7.98468943038534995e-1	9.83094360573743553e-1
gene92	1.50481193844679151e1	2.16198259030752377e-1	4.22395864742558746e-1	5.11838010446718283e-1	6.08764340398442849e-1	9.50134454254765282e-1
gene93	1.06053142777445348e1	5.65148879177192143e-1	4.98919499281510692e-1	1.13274562327401074e0	2.57321109933772163e-1	7.72580522700750394e-1
gene94	2.68049004533374557e2	1.43936346956954647e-1	1.58239119459818306e-1	9.09612916504533797e-1	3.63026690876126434e-1	8.53941773187962938e-1
gene95	1.76618410974672742e2	-2.90084119384991408e-2	1.67985486488625546e-1	-1.72684036846619648e-1	8.62899804993576436e-1	9.87684761827949620e-1
gene96	5.88320984947370840e-1	-1.57521560172115027e0	2.13201347013271647e0	-7.38839422821795822e-1	4.60004486470922846e-1	8.97887307627720066e-1
gene97	3.76636494159410118e0	1.16589876198112274e0	8.24795945028800270e-1	1.41356024966928251e0	1.57491064697660305e-1	6.33512463517508451e-1
gene98	6.27752639028063086e0	1.50868311845444381e0	7.86986159320945844e-1	1.91703894736372127e0	5.52329792954679780e-2	3.50580708734276880e-1
gene99	4.98476523781436214e1	1.18524988300507367e-1	2.22082790589832380e-1	5.33697311645424666e-1	5.93550922299563855e-1	9.45100377956855864e-1
gene100	8.22205091650959730e2	1.47849407918721143e-1	1.11371418823344878e-1	1.32753456390132651e0	1.84331923836111328e-1	6.77851188734858834e-1
gene101	8.45489394978606833e3	-1.07168227962109813e-1	1.33577612057907746e-1	-8.02291838512960598e-1	4.22384151525058038e-1	8.83387368664145245e-1
gene102	1.60077417780092304e2	8.72477771367450028e-2	1.66586731478759409e-1	5.23737853322786995e-1	6.00460837181231111e-1	9.48057262282889557e-1
gene103	4.83983805687503036e2	-9.82039357322177398e-1	1.01232330794870706e-1	-9.70084704768978767e0	2.99005875886637241e-22	6.76377763966491886e-21
gene104	7.15216284220920215e1	-1.95461238611310512e-1	2.33795258766167552e-1	-8.36035938636389697e-1	4.03134680738844342e-1	8.74028617541822039e-1
gene105	1.84086932247643631e0	-1.85393794545346058e0	1.09683969967307493e0	-1.69025423314459444e0	9.09793231246815021e-2	4.75761461703431532e-1
gene106	1.26309025169924936e2	-2.45893783782228675e-1	1.38637195009933628e-1	-1.77364944353216281e0	7.61211492756960068e-2	4.31035949402525376e-1
gene107	3.25583287772064125e1	1.76195984665864974e-1	2.65692467387314724e-1	6.63157621284815257e-1	5.07229571977321991e-1	9.16462206703177684e-1
gene108	8.09804087136180783e2	2.63941903433133895e-2	9.45408647058788715e-2	2.79182874256830305e-1	7.80104516490831679e-1	9.80442531522543903e-1
gene109	1.21751421377174420e1	-5.71734231107680513e-1	4.43470738666819853e-1	-1.28922650641269287e0	1.97319364159271926e-1	6.96961925004274119e-1
gene110	3.93175115211056569e0	-6.89982129847299896e-1	7.45125907959602651e-1	-9.25994013195294285e-1	3.54449100049150090e-1	8.50478629128069596e-1
gene111	1.55209326158464900e0	3.17764524126228187e-1	1.18015278931590806e0	2.69257105523111828e-1	7.87731871329190869e-1	9.81696588090372302e-1
gene112	7.36368219031980630e2	6.72611139406933956e-2	1.20361348305740731e-1	5.58826524357614929e-1	5.76280070519349485e-1	9.39894599008168186e-1
gene113	1.23316798845489153e1	-5.95515223453991660e-1	4.35446873133862933e-1	-1.36759559017644228e0	1.71438705108221484e-1	6.57671213494080087e-1
gene114	5.07065701814656151e1	-6.67468282176098687e-3	2.46645765363479735e-1	-2.70618180365860515e-2	9.78410368984688250e-1	9.96006070862986759e-1
gene115	1.27492459558605589e1	-7.59069638257862223e-1	4.66842793828421143e-1	-1.62596413245021254e0	1.03957283177518678e-1	5.12305810199003453e-1
gene116	4.13334229963879252e-1	2.12220551379781552e0	2.80068701747888893e0	7.57744617857433411e-1	4.48603863091977029e-1	8.92505379610663008e-1
gene117	4.29489871580188719e3	-8.32636841629650765e-2	1.01813347819044955e-1	-8.17807153448597002e-1	4.13467304836055372e-1	8.78557406768072147e-1
gene118	1.88100417703331544e2	2.45682433681601975e-1	1.43978259677298853e-1	1.70638563233264917e0	8.79362999545364038e-2	4.66980744579590601e-1
gene119	3.11308583470654341e1	7.22725927211147617e-2	2.78434427375359228e-1	2.59567731628544685e-1	7.95197264204249077e-1	9.82625695005485578e-1
gene120	4.15531947127190449e2	-5.39422901632808025e-2	1.15906868053375620e-1	-4.65393389272153790e-1	6.41649730589583744e-1	9.56779170685259528e-1
gene121	3.57958687576324621e1	9.22814833853484173e-2	3.00630252439479162e-1	3.06960070174327859e-1	7.58873787664332000e-1	9.76156697499675485e-1
gene122	2.41318955543288922e1	-2.63759613778943913e-1	3.52281313154806208e-1	-7.48718719755190665e-1	4.54026736794384378e-1	8.94681645905854639e-1
gene123	2.47504831238339484e0	-5.64493083548096020e-1	1.05255117124979058e0	-5.36309396604273125e-1	5.91744690185552091e-1	9.44522510205142440e-1
gene124	3.67178289420119128e1	-2.02698047628632722e-1	3.19673814458092453e-1	-6.34077733180129943e-1	5.26030051200414128e-1	9.21618384122292800e-1
gene125	8.37168228018963667e0	1.02329318182558593e0	5.65493583534539601e-1	1.80955754693029958e0	7.03644237182048105e-2	4.09787434330830980e-1
gene126	5.81436784195053633e1	2.05605944068726981e-1	2.45795013293821057e-1	8.36493553361668751e-1	4.02877297393665124e-1	8.73755757945190115e-1
gene127	4.71885642863160903e0	-2.19442042086308797e-1	7.45382726018568254e-1	-2.94401834690279973e-1	7.68450891701951244e-1	9.78698930608478457e-1
gene128	3.79292713471590659e0	-1.37061584017578220e0	9.53666593294684062e-1	-1.43720651411374356e0	1.50659326700354784e-1	6.22187415679590905e-1
gene129	1.73993368655708913e1	-4.05931984447232899e-2	3.78741924437250244e-1	-1.07179046800900832e-1	9.14646890086088238e-1	9.93766132701380478e-1
gene130	9.94704284272592645e1	-2.95863696864174042e0	2.28856775796443063e-1	-1.29278976265631904e1	3.13268289584416643e-38	1.09528486721541048e-36
gene131	7.61183764569267840e0	8.52698079549247367e-1	5.82377966125704916e-1	1.46416610714491635e0	1.43148571191800328e-1	6.07756258048868458e-1
gene132	7.58045758864325876e1	1.76599104582436411e-1	2.28821645626619441e-1	7.71776219416770770e-1	4.40246961855860042e-1	8.90072856327502659e-1
gene133	1.16872470218638345e1	4.14951751592766097e-3	5.23198989759675714e-1	7.93105032147268553e-3	9.93671998258542244e-1	9.98311799660568711e-1
gene134	6.01086560070322378e1	-9.60665034490336238e-3	2.20877160232848091e-1	-4.34931811635755269e-2	9.65308320790276175e-1	9.94632401255889365e-1
gene135	8.89013729479462199e3	2.45638152783195363e0	8.22053924606437753e-2	2.98810267101146465e1	3.47178046504302381e-196	5.76575940732020178e-193
gene136	7.42153157482482673e0	-4.25732245009931121e-1	7.11500975842460526e-1	-5.98357921443239404e-1	5.49601089966267331e-1	9.29729452533126222e-1
gene137	4.61036006116309416e0	-4.47040558210612671e-1	8.18093069395533279e-1	-5.46442177466334944e-1	5.84761976575122189e-1	9.42607854431746328e-1
gene138	2.00222666394702998e2	-3.68058318439143994e-1	1.51356471263662973e-1	-2.43173162908896279e0	1.50268357367400046e-2	1.27782507226167880e-1
gene139	1.02287243344795797e2	7.09513668794364283e-2	1.84570018543996545e-1	3.84414367182411787e-1	7.00671344202990043e-1	9.67960253547761051e-1
gene140	2.83310130621642742e1	4.15988173505146663e-1	3.32737301729848223e-1	1.25019999664146586e0	2.11226511575634879e-1	7.17644844084527667e-1
gene141	1.98247096977685430e2	-1.36299114613198963e-1	1.84650845543213649e-1	-7.38145087894011342e-1	4.60426263727476193e-1	8.98162346028398395e-1
gene142	2.73602533895783662e0	7.83657634296922812e-1	1.08812072122892411e0	7.20193650399249208e-1	4.71405745517810837e-1	9.01943654226617930e-1
gene143	6.05878040557685615e0	-5.82884032688254644e-2	5.49594737742391870e-1	-1.06057062169592001e-1	9.15537029392939683e-1	9.93766132701380478e-1
gene144	2.93470170349436648e3	1.77294210023186016e-1	9.82366483690255005e-2	1.80476647938131141e0	7.11112272177518573e-2	4.12684206245491847e-1
gene145	4.07576071931049000e2	2.09788249702259705e-1	1.51239022355779351e-1	1.38713042728316061e0	1.65402001888820538e-1	6.47395720289432375e-1
gene146	3.17826384384984010e2	-1.41313786477537479e-1	1.29986243104231264e-1	-1.08714417081985415e0	2.76973117174996730e-1	7.89292093721568611e-1
gene147	2.85322850761885093e3	-3.51329687133683302e-2	1.02789281302772609e-1	-3.41796034256547143e-1	7.32504402923699338e-1	9.72471624804733481e-1
gene148	7.00935660065910469e1	1.41363033260846843e-1	2.46254490730479669e-1	5.74052610539255936e-1	5.65932152680035716e-1	9.34885765149240044e-1
gene149	3.77843693825772675e2	-1.93797813232985117e-1	1.07998510594615224e-1	-1.79444894347133532e0	7.27415362773924101e-2	4.18978634818541418e-1
gene150	6.27441727528669503e2	1.74649189014798062e-1	1.12794763714142737e-1	1.54838029057283033e0	1.21530763288185989e-1	5.60126406468607452e-1
gene151	4.40353766507907896e0	-2.49600053355089901e0	8.31270385626029507e-1	-3.00263377200808357e0	2.67654320266155288e-3	2.66570861998211318e-2
gene152	5.10184999297019743e1	4.20457271842590130e-1	2.20413255150730070e-1	1.90758614564745455e0	5.64447225724117527e-2	3.54630162719291875e-1
gene153	1.37420432506527704e4	-1.02042063838896677e-1	8.88584631731610119e-2	-1.14836629168393789e0	2.50817400221121367e-1	7.65145556572493390e-1
gene154	8.96912683891303232e2	-1.96699785999951665e-1	1.26952258273817620e-1	-1.54939966153023256e0	1.21285674689215736e-1	5.59514400666986211e-1
gene155	1.25604402423753179e1	6.28149441594769486e-1	4.95723316711426165e-1	1.26713717192453967e0	2.05106258871087938e-1	7.09153822526355171e-1
gene156	2.17367416915544343e-1	2.71008281223678704e-1	3.05049516379764452e0	8.88407509836183773e-2	9.29208405382465408e-1	9.93766132701380478e-1
gene157	1.08049601862280937e2	-3.00485170741252638e-1	1.85609036554623352e-1	-1.61891455458755140e0	1.05465646484724521e-1	5.17435959821288760e-1
gene158	3.25167841870017895e1	-2.56852391575209338e-1	3.26608485865390819e-1	-7.86422896804552241e-1	4.31619759765969502e-1	8.86700588879661300e-1
gene159	1.05715454142264527e1	-1.82338601445249548e-1	5.30433735231325643e-1	-3.43753779849108709e-1	7.31031470364019942e-1	9.72471624804733481e-1
gene160	1.21977582233600657e2	1.33728632739831571e-1	1.80144296845927920e-1	7.42341750925402333e-1	4.57880278970157595e-1	8.96751935465201488e-1
gene161	2.84187508702790410e3	-1.64813892149406130e-2	1.42920835704191451e-1	-1.15318309844288577e-1	9.08192786725043999e-1	9.93766132701380478e-1
gene162	5.45929246935746590e1	3.34045664982262291e-1	2.66159505552235554e-1	1.25505818133068203e0	2.09457653176494785e-1	7.15754727392723722e-1
gene163	4.90484483644799738e1	2.67159719441456611e-1	2.14116915920342904e-1	1.24772822498922520e0	2.12130614928847772e-1	7.18482499136133157e-1
gene164	1.98388284958352165e3	-2.86875129952578189e-1	1.13732056772969076e-1	-2.52237705087173270e0	1.16564684234739292e-2	1.02597519918394775e-1
gene165	2.30415248064912994e1	-6.46349409468355729e-1	4.33455743626006085e-1	-1.49115433114675344e0	1.35920982395346779e-1	5.93117858146894217e-1
gene166	1.02450031853483363e1	-4.39225508304256940e-1	5.21428944197967481e-1	-8.42349687702604988e-1	3.99592242689876920e-1	8.71181906199163913e-1
gene167	6.66803260213918776e1	-3.99460749607328691e-1	2.25972154520681895e-1	-1.76774324453665566e0	7.71038324577335427e-2	4.34188984211710205e-1
gene168	2.95448785179491136e-1	8.92198181802634882e-1	2.87164837243054061e0	3.10692001976371923e-1	7.56034799115035683e-1	9.75179623243886406e-1
gene169	8.87971639342928256e2	-6.79731364696068846e-2	1.40954852422634197e-1	-4.82233391056297644e-1	6.29640118413728689e-1	9.53583528880564302e-1
gene170	8.51090706817871614e3	2.54848374887383600e-1	1.10927831785015141e-1	2.29742500855236420e0	2.15945346850396624e-2	1.74233798274556873e-1
gene171	1.97491588078956326e1	1.01491083438961016e-1	3.68052338001128132e-1	2.75751769409083192e-1	7.82738761881361822e-1	9.81205232452739939e-1
gene172	4.39837100675296313e2	2.33879465176714901e-1	1.06984511002195887e-1	2.18610584827475130e0	2.88078595859710858e-2	2.17631476000309992e-1
gene173	1.67349984814638688e1	7.71793014594297500e-2	4.38132162785444312e-1	1.76155297453533144e-1	8.60171954242226033e-1	9.87462907534002898e-1
gene174	8.37532528425195437e1	1.56051861491970090e-1	2.17046385309763085e-1	7.18979315270589892e-1	4.72153637027017625e-1	9.02014486515605785e-1
gene175	1.62634798336930174e2	-2.54371352370260206e-1	1.77270711845873036e-1	-1.43493163490775544e0	1.51306584119474702e-1	6.23305387620486595e-1
gene176	7.27298888187050238e2	2.13847060545911349e-1	1.09736601494364788e-1	1.94873048402991467e0	5.13276148806475138e-2	3.33191262678559252e-1
gene177	9.79556073100271306e2	4.12771246821298302e-2	1.11069234859952654e-1	3.71634185957760543e-1	7.10165228475637123e-1	9.69057012364529236e-1
gene178	5.98905723781561505e1	-1.34872528406910908e0	2.11512224068902271e-1	-6.37658315024737377e0	1.81082436109846064e-10	2.73600596605998652e-9
gene179	2.83156310290502518e2	-1.75229484700613170e-1	1.17967234409477401e-1	-1.48540809299955368e0	1.37435755097921858e-1	5.96073376136340594e-1
gene180	2.24284591421275543e1	8.67418745062062957e-2	2.84581796673784360e-1	3.04804718784028039e-1	7.60514910529715982e-1	9.76976964162529438e-1
gene181	2.54863964165142278e2	-8.40001479461344042e-2	1.66410004678676032e-1	-5.04778231983898706e-1	6.13714562215659454e-1	9.52085388365131458e-1
gene182	9.94148297285752847e1	-4.13371329351618133e-1	2.21538351438460956e-1	-1.86591317786547961e0	6.20535088827692122e-2	3.77031822720947485e-1
gene183	2.41551743166801799e2	-2.66407658515433521e-1	1.22096953265278016e-1	-2.18193535048015530e0	2.91143017267167167e-2	2.19447397546042922e-1
gene184	1.26937763545835125e1	-5.14731272894028202e-1	5.86960185351461772e-1	-8.76944102410993742e-1	3.80517002068325838e-1	8.63768757554568056e-1
