gene	normal_1	normal_2	normal_3	normal_4	tumor_1	tumor_2	tumor_3	tumor_4	tumor_5	tumor_6	tumor_7	tumor_8	tumor_9	tumor_10	tumor_11	tumor_12
gene188	138	48	305	119	128	147	167	212	118	131	144	235	253	54	108	122
gene189	0	0	0	0	0	6	0	0	7	0	0	0	0	0	9	0
gene190	15	2	37	22	22	20	25	34	42	91	9	22	17	8	10	45
gene191	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
gene192	730	237	1019	663	532	755	871	1616	840	1020	567	1729	1722	291	886	619
gene193	32	11	42	17	14	17	14	32	25	34	39	48	68	10	28	23
gene194	0	5	6	4	4	8	17	20	1	0	11	6	1	0	0	5
gene195	40	13	58	22	17	61	69	85	62	45	74	113	53	18	40	33
gene196	126	62	305	119	53	115	122	250	158	154	114	276	216	31	113	136
gene197	1	8	10	4	12	1	9	34	12	2	3	1	14	0	3	0
gene198	43	12	88	25	26	33	71	56	60	40	55	73	63	18	40	47
gene199	5	4	17	13	5	25	18	32	18	20	29	33	23	9	13	6
gene200	236	123	264	208	32	64	57	117	46	98	57	140	82	25	42	43
gene201	3182	1306	8762	3560	3288	3976	6795	6415	5005	6883	3956	10659	8505	1704	3419	4213
gene202	301	172	726	271	246	267	576	689	437	371	312	757	503	172	316	293
gene203	16	9	110	41	32	50	48	97	71	92	51	151	124	20	59	72
gene204	193	100	328	215	72	178	234	411	281	339	187	457	350	40	165	175
gene205	516	430	1285	499	486	899	1064	1212	921	914	1103	1556	1970	274	473	589
gene206	3	1	2	3	0	4	1	8	1	0	0	29	8	7	8	3
gene207	9	5	15	6	9	5	1	16	15	14	12	24	39	7	21	5
gene208	93	67	221	124	84	128	151	373	189	144	108	388	250	66	136	78
gene209	13	0	5	0	1	4	3	1	0	6	0	6	6	0	0	0
gene210	615	224	1360	545	685	756	895	1400	991	1261	724	1525	1500	356	582	817
gene211	58	6	140	34	76	45	107	56	77	65	32	79	92	22	46	60
gene212	4	0	3	1	0	0	0	5	3	0	0	0	8	3	0	0
gene213	12	2	39	9	0	4	18	14	27	20	24	9	36	4	7	23
gene214	9	4	19	15	7	7	13	37	12	14	15	78	2	15	7	11
gene215	10	3	1	4	42	49	43	22	30	13	19	181	72	14	19	41
gene216	1371	488	2132	1169	1239	1683	2064	3440	1407	1997	1488	2830	2456	538	867	852
gene217	40	27	41	23	16	39	57	85	56	56	49	112	86	12	36	28
gene218	48	36	131	42	68	44	56	213	73	74	64	181	144	36	61	58
gene219	2	0	4	4	2	17	16	4	22	18	4	3	26	2	10	2
gene220	44	6	38	16	75	154	149	444	251	282	119	211	188	55	60	102
gene221	44	10	23	42	24	47	91	127	41	25	47	66	91	22	36	42
gene222	0	0	11	1	0	2	0	2	6	0	0	1	9	1	0	1
gene223	344	180	807	405	335	484	683	1204	429	679	534	916	717	175	484	336
gene224	136	48	294	128	109	188	173	326	207	224	121	218	259	48	75	119
gene225	20	7	7	1	5	12	45	16	15	17	13	25	41	9	8	3
gene226	932	264	1276	770	512	815	1195	1259	814	1203	801	1916	1552	257	733	898
gene227	62	20	170	67	26	37	65	85	64	82	91	151	137	28	46	70
gene228	2	13	29	9	5	4	9	14	5	37	1	14	12	0	9	1
gene229	10	6	28	16	18	20	24	73	31	18	26	69	39	7	11	13
gene230	0	2	0	4	0	0	1	0	0	2	0	0	1	0	0	0
gene231	379	217	711	377	387	428	481	793	519	485	455	807	824	175	433	319
gene232	38	8	22	25	8	7	30	12	44	22	25	19	50	18	8	2
gene233	59	12	133	36	40	56	84	152	48	50	70	108	98	28	52	47
gene234	35	10	61	19	17	41	32	33	42	92	29	139	67	19	24	22
gene235	1411	854	2722	979	977	1195	1994	2687	2058	2128	1408	2772	2659	801	1536	1104
gene236	1	0	2	0	1	0	0	2	0	3	0	0	6	3	1	3
gene237	57	20	63	41	40	38	59	154	26	91	71	64	116	13	46	16
gene238	45	25	78	72	34	55	103	101	51	79	37	122	76	24	62	36
gene239	34	22	110	34	18	24	22	44	24	21	10	34	26	2	5	22
gene240	18	6	14	17	13	32	37	26	7	15	18	53	49	6	8	6
gene241	11	13	32	15	39	24	52	10	35	57	17	60	30	4	34	32
gene242	61	30	93	30	54	53	67	171	116	71	107	151	129	26	52	61
gene243	5	0	3	0	4	4	2	6	12	6	0	17	12	1	6	6
gene244	1535	677	2902	1073	705	1682	1813	2239	1699	2421	1398	2693	3484	566	1156	1216
gene245	28	11	15	13	1	5	2	9	2	11	6	12	5	2	0	1
gene246	3603	1519	7304	3766	2853	3662	4746	6930	5412	5017	4950	8303	8675	1467	2360	3246
gene247	9	6	33	4	4	26	24	17	35	12	30	23	48	3	10	8
gene248	40	15	43	50	35	22	35	64	41	67	34	108	75	15	30	46
gene249	0	0	1	0	0	0	0	1	0	0	0	16	1	6	0	0
gene250	262	199	456	218	188	249	360	445	308	316	312	728	447	114	296	263
gene251	1	1	0	3	2	1	4	0	0	0	3	0	0	0	7	0
gene252	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene253	2	4	3	0	2	0	3	1	0	0	9	15	2	0	1	1
gene254	45	18	77	16	24	47	45	80	45	34	41	73	23	15	33	21
gene255	29	9	22	16	23	16	22	50	51	27	31	28	30	0	14	8
gene256	35	12	27	11	14	8	9	15	17	2	16	62	8	8	10	12
gene257	3	4	23	10	29	11	37	130	20	60	2	100	75	16	41	27
gene258	2139	990	4714	1983	2207	3501	3460	4657	3181	2933	2487	5106	5509	1026	2092	1702
gene259	62	9	84	30	26	42	89	89	33	74	40	123	85	30	28	32
gene260	62	25	96	26	46	61	111	150	83	111	97	176	150	41	74	82
gene261	20	4	17	3	1	3	6	21	12	35	8	8	8	7	5	6
gene262	0	0	0	0	0	1	10	1	1	1	3	0	0	4	4	4
gene263	23581	9749	37174	17373	16941	23180	26857	43310	25900	29370	24278	57160	46670	10874	20345	18764
gene264	509	219	744	415	303	565	573	1196	555	959	543	986	1233	217	429	572
gene265	386	145	713	325	233	334	444	679	511	647	422	666	768	160	404	335
gene266	96	74	352	134	51	105	62	150	126	95	91	126	252	51	73	68
gene267	5	3	18	11	6	9	28	33	8	10	5	15	20	14	24	18
gene268	30	19	75	58	35	64	75	130	42	76	72	104	129	14	52	48
gene269	4	1	39	5	0	12	4	11	18	36	5	30	22	1	1	2
gene270	790	389	1761	813	782	1023	955	2009	1165	1090	864	2356	1582	357	967	977
gene271	313	143	496	283	232	283	365	559	469	547	250	468	603	121	264	334
gene272	126	39	203	53	71	67	94	161	109	169	101	118	203	42	72	160
gene273	53	14	51	27	12	29	40	76	12	37	42	89	41	11	23	24
gene274	5	5	3	8	1	4	0	15	12	11	0	14	3	1	2	11
gene275	81	39	134	77	36	57	76	161	80	87	63	201	108	43	67	35
gene276	10524	5576	14772	10320	8107	12723	14924	23246	9145	20381	12362	22437	24461	4624	13969	9741
gene277	444	221	631	284	326	300	574	659	470	519	428	897	634	190	392	278
gene278	241	96	385	188	153	342	438	618	287	311	305	516	641	133	204	245
gene279	1001	423	2051	1063	671	1162	1087	2488	1842	1270	1054	2210	2508	457	1433	874
gene280	613	439	1716	744	457	749	901	1747	907	949	849	1629	1795	366	592	652
gene281	5729	2251	7722	4124	3456	5912	8259	10471	4738	8450	6048	11530	9952	2400	5241	3903
gene282	216	128	278	184	161	217	359	478	214	361	218	533	265	119	286	176
gene283	0	0	8	29	0	1	0	3	2	9	0	0	1	4	0	0
gene284	7	1	32	22	14	27	24	64	17	8	15	19	32	3	8	20
gene285	32	22	135	57	71	42	86	185	106	133	36	200	208	35	49	61
gene286	16	2	25	6	9	10	9	27	17	8	12	17	24	5	4	17
gene287	46	20	87	56	61	63	81	162	77	99	97	166	132	32	54	33
gene288	122	61	192	142	92	118	143	170	119	202	127	256	231	58	96	163
gene289	32	14	38	35	33	55	48	91	22	108	23	85	36	21	37	50
gene290	441	222	691	297	315	557	503	933	422	827	419	806	809	181	524	469
gene291	27	2	25	7	4	15	14	19	17	7	17	12	34	6	19	7
gene292	1643	592	3716	1765	1611	1658	1776	5006	1816	3056	1718	4119	3174	677	1385	1658
gene293	8	1	2	0	5	11	8	3	11	16	5	14	19	3	2	1
gene294	51	38	85	36	36	66	70	131	75	32	58	121	176	17	32	51
gene295	0	0	0	0	18	0	1	0	0	5	0	0	1	0	2	0
gene296	30	20	105	49	37	42	34	134	53	35	65	137	72	10	74	19
gene297	24	8	55	29	20	42	47	65	30	39	36	54	70	8	21	22
gene298	3	0	10	0	0	7	14	8	18	2	5	2	3	1	2	10
gene299	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0
gene300	4	1	20	14	10	18	9	57	21	22	8	8	42	6	12	2
gene301	181	86	217	181	143	136	176	365	209	105	125	308	237	95	162	112
gene302	17	6	58	19	12	25	53	24	29	33	43	66	81	26	36	23
gene303	59	28	128	19	29	104	78	126	73	37	31	84	176	21	65	83
gene304	17	20	22	19	21	10	21	62	43	17	24	56	85	21	11	15
gene305	19	2	59	28	18	20	30	66	13	24	29	59	65	10	7	23
gene306	5	1	23	2	0	2	1	11	3	7	1	2	5	3	4	1
gene307	2179	1014	4060	1823	4665	6511	8488	14163	7842	6123	5053	9721	14532	1885	4616	5745
gene308	33	3	28	30	20	34	24	79	55	45	40	110	68	13	33	22
gene309	10	1	11	11	1	1	7	18	4	9	1	17	4	1	0	8
gene310	461	225	856	372	495	630	887	1197	711	1005	833	1416	1224	250	550	702
gene311	470	198	1014	289	388	428	376	967	338	596	378	1029	1097	219	477	501
gene312	885	365	1247	565	506	914	1106	1394	968	1039	927	1626	1714	319	776	824
gene313	2426	1039	3346	1889	1677	2307	2954	4562	2597	3827	2549	6295	6071	1119	2629	2836
gene314	0	1	0	0	0	0	0	0	1	9	0	0	0	0	0	0
gene315	149	91	288	159	218	182	274	599	301	353	280	342	579	84	178	219
gene316	670	272	1049	664	3063	5897	5694	7211	7713	5792	4404	8140	6678	1774	4183	4114
gene317	156	55	160	132	20	23	44	96	29	62	16	51	38	13	14	17
gene318	0	1	4	1	1	6	1	0	11	9	4	1	2	0	0	0
gene319	31	13	44	5	20	24	21	95	26	42	25	37	39	4	17	23
gene320	0	0	7	5	3	0	0	15	13	3	6	7	0	0	0	0
gene321	4	3	17	2	9	11	4	4	1	10	4	9	7	1	8	5
gene322	9	3	18	8	13	11	7	33	24	4	8	16	23	2	21	2
gene323	8525	3288	11306	4709	18859	27594	30301	39193	25936	44852	18861	47757	43008	11699	23278	18860
gene324	49	25	68	53	405	505	704	595	489	790	473	939	721	191	380	667
gene325	250	116	421	198	228	318	352	550	376	382	264	562	511	104	244	203
gene326	13	4	10	15	16	15	6	21	11	8	4	29	44	9	14	17
gene327	57	35	125	55	50	66	91	182	118	84	77	133	138	48	69	51
gene328	8	9	9	18	18	54	40	14	27	35	33	50	87	30	55	5
gene329	10	4	5	1	6	2	7	13	5	8	9	58	3	1	12	5
gene330	7	0	21	9	16	25	25	27	24	15	29	21	23	4	4	14
gene331	249	74	365	189	132	268	251	393	260	462	241	404	377	87	221	217
gene332	33	3	59	14	14	10	33	63	10	45	33	96	70	9	16	18
gene333	392	162	745	345	172	427	430	770	378	627	439	786	513	188	341	371
gene334	43	42	150	88	50	104	109	214	56	171	92	138	118	43	74	45
gene335	69	18	43	59	27	58	64	98	55	62	48	89	48	30	24	20
gene336	5	3	17	2	2	10	11	3	0	13	0	19	22	10	16	0
gene337	4	14	6	7	0	2	1	0	11	4	4	3	1	0	7	2
gene338	412	243	582	426	342	478	437	975	715	779	335	837	806	206	316	321
gene339	53	28	110	37	75	97	130	180	92	125	55	149	137	29	67	82
gene340	634	258	1181	490	526	651	728	1162	586	1028	722	1672	1124	325	450	621
gene341	4	2	17	9	4	3	18	29	18	20	0	3	8	0	14	15
gene342	5	10	16	9	0	0	0	0	2	0	0	0	0	2	0	2
gene343	0	0	2	0	8	2	0	0	0	3	0	10	0	1	3	6
gene344	0	0	0	0	0	0	4	0	0	1	2	1	1	5	2	0
gene345	3	7	50	6	21	10	0	16	6	5	2	10	13	4	3	4
gene346	609	194	1078	452	340	539	658	1374	572	955	459	1602	1182	312	536	506
gene347	902	307	1186	722	594	757	835	1875	823	1112	750	1964	1622	266	834	574
gene348	42	30	149	39	59	53	60	111	63	67	78	135	114	21	76	61
gene349	65	24	102	50	34	68	77	128	46	78	70	89	54	13	57	66
gene350	164	69	400	112	84	206	291	528	205	259	251	237	372	76	153	192
gene351	137	71	344	137	89	115	232	314	144	209	209	368	234	76	118	135
gene352	15	13	69	25	10	58	41	94	71	44	23	91	137	12	38	54
gene353	4	2	1	1	0	1	1	6	2	13	0	0	2	3	1	2
gene354	314	95	555	235	194	291	349	579	494	424	381	560	632	173	337	243
gene355	12	13	27	20	9	16	39	52	45	76	23	70	62	7	30	21
gene356	16	5	77	6	16	27	25	37	35	16	25	44	56	21	29	8
gene357	13	9	19	16	7	11	25	37	17	16	12	15	16	10	24	16
gene358	0	0	0	0	2	0	0	0	0	7	1	0	0	0	0	0
gene359	3	2	16	3	10	2	2	5	19	3	6	4	9	1	1	0
gene360	6411	2749	12009	7014	5218	7915	9744	14898	7109	11337	7366	11985	13108	2988	6375	6719
gene361	70	46	127	72	57	68	136	225	75	149	51	182	117	41	97	77
gene362	0	0	0	0	3	0	0	1	0	0	0	5	0	0	0	0
gene363	63	12	74	42	40	70	57	219	58	84	77	121	128	21	23	37
gene364	32	31	104	65	34	50	54	152	81	71	48	107	149	22	92	30
gene365	226	111	334	202	185	298	319	531	224	367	269	460	576	87	220	213
gene366	11	3	43	5	3	20	18	51	32	17	6	41	13	5	15	34
