gene	normal_1	normal_2	normal_3	normal_4	normal_5	normal_6	normal_7	normal_8	tumor_1	tumor_2	tumor_3	tumor_4	tumor_5	tumor_6	tumor_7	tumor_8
gene157	209	179	73	222	61	390	137	98	50	80	35	46	331	64	58	161
gene158	27	83	23	59	14	84	18	63	19	14	13	19	114	15	24	36
gene159	16	7	1	10	27	60	6	3	6	7	4	10	17	4	8	15
gene160	174	260	96	135	75	318	124	99	101	52	58	114	421	43	59	302
gene161	5837	3655	2665	5433	1756	7982	2694	1653	3270	1542	883	2286	12128	1481	1432	3094
gene162	56	74	31	79	23	214	81	31	66	14	8	49	276	33	40	120
gene163	64	96	24	71	32	141	46	33	38	24	30	37	131	48	20	91
gene164	3153	3454	1562	2854	1814	6093	2473	1936	1533	1372	591	1320	7631	815	782	2692
gene165	71	45	16	23	54	68	12	7	30	4	2	5	83	10	13	30
gene166	18	52	2	7	8	36	10	9	13	5	6	2	12	11	3	4
gene167	114	137	48	99	65	328	52	62	45	32	27	18	281	29	26	108
gene168	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	2
gene169	1149	1441	938	1551	433	3432	1090	505	801	640	244	724	2699	542	366	1387
gene170	9293	10507	6373	16306	5493	24658	6981	6294	8497	5732	3478	7706	30316	4943	4901	12842
gene171	49	13	12	43	17	63	16	7	36	20	4	16	50	10	9	16
gene172	595	640	295	675	267	1500	487	247	500	273	175	332	1394	314	203	808
gene173	39	12	10	3	18	30	22	22	22	5	5	14	93	10	4	25
gene174	63	244	55	111	53	274	69	61	86	49	19	85	215	71	46	132
gene175	410	268	112	256	113	496	180	147	124	80	63	75	781	59	78	230
gene176	922	1538	398	1162	437	2459	611	496	586	559	304	657	3004	406	301	1239
gene177	1259	1891	527	1426	757	3352	1152	729	1139	588	463	716	3037	490	548	1106
gene178	117	181	68	140	60	246	61	79	23	18	20	33	137	9	15	49
gene179	607	583	211	421	168	893	288	243	296	146	111	188	796	138	122	458
gene180	44	36	18	21	15	89	17	18	26	10	6	18	95	10	11	44
gene181	297	726	245	323	149	649	299	192	187	183	69	213	1028	111	139	337
gene182	205	303	53	265	73	307	58	83	105	58	35	40	309	46	24	161
gene183	370	593	191	380	167	859	323	163	251	120	70	210	635	137	94	312
gene184	10	17	3	18	35	34	8	15	5	6	1	5	72	6	12	0
gene185	15	61	10	36	11	102	24	17	27	19	9	21	33	21	8	42
gene186	347	447	247	629	210	1277	271	143	283	162	105	272	1203	214	159	416
gene187	661	1155	304	994	346	1839	409	361	338	318	235	476	1607	251	236	1054
gene188	75	24	19	13	14	95	27	17	33	7	3	9	86	20	12	43
gene189	55	32	13	6	10	48	5	2	7	3	5	6	48	3	7	4
gene190	192	185	114	231	117	483	199	121	157	85	79	115	402	53	66	184
gene191	20	22	7	33	14	39	5	8	22	7	4	2	85	15	2	9
gene192	3	6	7	7	18	27	6	0	4	0	2	0	2	4	0	16
gene193	192	349	176	293	149	625	281	146	184	114	57	169	551	126	80	233
gene194	1005	1246	525	1396	370	1676	825	487	520	368	201	522	1915	334	259	890
gene195	1873	2300	832	1661	712	3955	1106	721	858	648	402	1047	3709	398	490	1451
gene196	301	571	146	267	165	510	252	133	244	271	97	323	1579	151	147	414
gene197	1588	1979	798	1497	758	3996	1211	453	961	699	232	595	3452	602	518	1457
gene198	237	255	127	202	123	637	202	94	238	81	41	133	276	137	64	212
gene199	15650	19452	6356	15818	8864	47352	11121	6776	10790	6334	4127	9487	31012	4961	4222	17504
gene200	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0
gene201	90	175	33	61	62	186	85	36	83	13	32	40	178	32	19	55
gene202	251	223	95	346	122	485	244	82	207	123	57	125	492	61	81	349
gene203	3	24	1	6	3	16	21	5	8	6	3	3	77	13	1	10
gene204	163	197	64	164	81	287	90	46	42	26	13	15	121	9	14	28
gene205	1070	1309	406	722	462	1943	717	385	586	302	193	395	1319	226	242	790
gene206	0	3	3	28	1	12	1	6	5	5	1	9	8	0	0	12
gene207	35	9	2	10	7	57	6	5	4	6	1	3	66	1	2	21
gene208	134	110	63	112	41	273	64	35	447	307	182	537	2243	368	195	1099
gene209	602	690	189	638	259	1127	533	268	375	358	163	226	1523	213	171	621
gene210	138	287	105	323	113	463	207	79	128	79	40	126	445	96	71	201
gene211	16	14	3	11	3	3	15	1	1	14	6	5	48	9	3	14
gene212	380	379	106	415	175	408	199	160	172	184	76	175	965	115	103	256
gene213	37	11	7	30	4	90	39	6	11	8	9	12	55	10	2	37
gene214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
gene215	415	463	143	427	181	570	234	162	76	33	33	55	161	22	31	107
gene216	244	326	88	272	129	335	128	113	145	90	33	118	417	94	77	159
gene217	415	410	224	462	214	736	300	185	325	107	114	189	912	139	108	449
gene218	229	438	118	243	134	421	239	80	121	96	55	140	697	76	68	272
gene219	16	37	14	15	30	28	15	7	14	14	6	5	53	4	8	19
gene220	1018	1324	387	1280	361	1652	452	546	190	125	109	169	591	117	93	324
gene221	25	57	10	33	5	32	14	8	16	5	0	8	77	4	5	16
gene222	2088	2903	1347	2682	925	5222	1715	1341	1196	1037	594	1442	7135	1041	559	2354
gene223	81	147	51	71	45	111	118	47	122	55	18	47	307	28	25	140
gene224	73	75	34	68	28	182	77	22	39	27	16	23	137	16	30	86
gene225	87	97	40	97	26	204	41	26	65	23	20	25	79	39	20	63
gene226	177	249	88	174	50	236	101	74	81	35	49	72	352	37	62	155
gene227	54	64	10	72	43	76	29	38	39	28	14	33	85	12	15	49
gene228	218	358	99	199	103	397	171	95	223	75	47	111	535	72	94	206
gene229	24	49	17	47	23	177	29	30	19	13	15	15	58	7	17	54
gene230	357	509	102	209	198	691	200	118	211	130	85	177	856	109	101	209
gene231	1635	1714	707	2529	809	3728	1160	938	1364	707	320	1086	3923	630	765	1725
gene232	405	406	144	392	127	804	385	175	264	151	114	222	729	153	138	457
gene233	85	60	10	59	12	190	33	24	60	43	13	18	124	15	20	18
gene234	11	38	13	25	34	61	30	22	24	8	14	17	63	20	11	14
gene235	76	82	65	78	52	210	38	41	55	18	19	28	205	31	20	65
gene236	121	120	42	70	50	272	54	35	79	34	16	57	234	25	34	112
gene237	97	126	24	50	28	136	29	59	32	19	9	10	75	13	17	40
gene238	27	21	2	46	14	63	34	13	23	9	4	5	33	18	10	26
gene239	118	109	39	63	37	250	49	53	75	43	14	33	183	35	35	83
gene240	1	9	2	10	5	12	13	10	11	3	4	5	30	3	0	1
gene241	170	142	38	175	65	501	60	53	107	48	29	68	308	36	57	184
gene242	903	1285	389	907	508	2489	798	523	595	465	145	676	2739	369	242	1195
gene243	1801	2895	691	1805	937	4486	1343	698	1014	846	439	1007	3811	721	529	1348
gene244	1144	1400	601	1272	432	1819	743	581	762	438	362	531	2239	306	383	1405
gene245	15	22	1	12	3	8	2	1	2	0	3	1	9	14	6	9
gene246	7654	8041	2645	9259	2412	14125	3846	2547	5315	2314	2023	4254	16224	2392	1776	5969
gene247	26	32	10	68	12	145	6	13	2	7	2	16	70	6	6	44
gene248	124	181	73	199	55	281	85	77	132	63	49	114	271	56	40	231
gene249	0	0	1	3	0	1	4	5	0	0	0	1	3	0	0	0
gene250	120	119	43	112	90	382	60	52	70	41	27	83	416	28	40	152
gene251	6454	6310	2235	4737	1664	7807	3747	1967	3438	1682	977	1883	11973	1864	1317	3944
gene252	111	208	63	124	89	197	101	39	63	43	34	69	430	40	20	155
gene253	1230	881	420	1155	455	1847	736	413	663	401	248	425	1794	330	229	891
gene254	49	54	18	42	24	82	20	26	39	12	8	23	92	9	15	35
gene255	127	179	77	186	70	357	133	80	308	135	75	257	1202	252	142	575
gene256	28	1	1	0	0	5	0	2	11	3	2	0	5	0	0	0
gene257	129	156	62	131	45	262	52	62	88	41	23	43	273	34	34	113
gene258	62	68	52	86	33	135	19	30	79	36	8	72	267	30	27	128
gene259	273	342	132	272	192	731	200	133	145	173	123	196	443	98	75	302
gene260	14	4	5	4	6	11	5	1	7	2	5	3	48	0	1	3
gene261	70	37	23	51	14	90	27	16	30	30	13	30	51	3	20	32
gene262	61	47	7	70	19	37	19	15	49	14	4	15	123	11	19	37
gene263	251	333	94	250	141	676	295	92	138	91	92	209	589	97	104	229
gene264	6	15	8	4	5	2	22	1	6	0	11	3	43	28	0	32
gene265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene266	289	345	140	371	139	689	234	156	158	169	79	148	829	119	86	221
gene267	48	19	1	13	16	48	26	18	16	3	6	5	32	6	13	20
gene268	445	448	200	396	174	1158	455	209	341	127	132	150	1036	168	163	402
gene269	265	528	196	315	95	670	205	108	213	75	74	198	665	80	76	320
gene270	556	882	320	782	213	1453	601	296	468	191	192	286	1513	258	243	707
gene271	645	1061	199	789	277	1462	604	245	414	288	144	391	1186	199	245	798
gene272	26	85	21	19	23	105	106	19	24	15	4	48	152	6	24	62
gene273	5	5	0	0	2	1	0	0	0	0	0	5	11	0	0	2
gene274	19	18	6	16	4	9	2	3	18	6	3	1	23	0	3	14
gene275	308	346	166	257	119	457	249	137	149	126	111	130	540	127	131	353
gene276	79	126	29	103	61	151	30	50	22	28	17	26	175	26	21	65
gene277	19	24	9	12	1	16	9	0	16	4	2	8	25	1	9	11
gene278	2	0	0	0	0	0	0	2	0	13	0	0	1	0	0	2
gene279	4	6	6	0	14	7	5	2	8	0	1	6	1	1	7	20
gene280	101	110	28	79	25	128	39	17	38	23	30	44	214	16	20	46
gene281	523	351	199	468	118	665	267	169	259	207	102	195	972	74	95	302
gene282	113	174	51	165	57	231	111	50	84	63	40	85	448	67	59	100
gene283	1740	2114	926	1882	745	3843	1449	839	1532	601	580	941	4105	665	552	1671
gene284	83	115	28	192	59	346	89	49	67	70	48	66	320	38	40	122
gene285	244	353	117	386	128	779	216	157	848	568	278	614	3131	391	503	1192
gene286	61	92	27	62	31	61	23	16	17	15	12	18	101	8	8	50
gene287	12	15	12	7	11	46	7	18	5	2	2	2	17	4	1	24
gene288	65	182	29	75	40	163	82	49	54	60	30	56	157	24	40	153
gene289	922	1079	519	1182	456	2197	731	389	700	498	257	456	1867	420	302	1225
gene290	28324	31779	13576	24449	10573	68426	19918	14933	18820	12710	7254	16393	58831	7013	7755	25532
gene291	5	16	12	13	9	27	24	3	2	3	7	19	17	3	9	3
gene292	554	597	228	612	190	1123	249	191	434	173	114	317	1071	166	175	549
gene293	3590	4451	1337	3941	1654	8324	2979	1437	2467	1042	1077	1779	6837	1579	1051	3697
gene294	18	41	34	30	21	29	28	10	12	15	7	20	33	3	10	32
gene295	211	189	87	133	88	457	172	71	97	88	64	80	285	38	25	153
gene296	614	432	241	572	217	790	182	217	201	132	103	211	687	154	149	403
gene297	1586	2094	538	1415	564	4275	1214	791	991	649	348	989	3837	515	547	1669
gene298	5	18	0	0	2	13	11	1	2	6	0	3	10	4	4	2
gene299	2	8	0	0	2	4	0	3	2	5	3	3	1	2	4	1
gene300	124	155	40	118	54	229	69	34	129	122	45	119	373	80	74	182
gene301	506	548	195	457	137	849	324	210	214	118	65	233	883	167	152	363
gene302	10	10	1	22	12	27	9	9	22	6	7	6	57	3	2	18
gene303	54	59	13	36	29	120	20	22	25	17	6	12	44	19	21	104
gene304	687	1226	416	1204	387	2449	581	376	530	320	346	520	1764	401	273	797
gene305	2957	2490	1285	4228	1402	6615	2205	1233	1530	1418	903	1576	5078	1041	816	3611
gene306	215	253	143	152	116	750	145	90	359	215	177	383	2130	280	249	727
gene307	59	108	12	51	18	168	47	45	13	18	26	32	86	15	12	41
gene308	482	780	181	513	187	1031	367	206	328	144	123	258	839	138	112	410
gene309	94	105	42	155	85	296	54	47	58	60	47	53	317	43	44	69
gene310	1580	1770	654	1496	699	4329	1215	1058	1218	612	431	1010	3748	497	463	1636
gene311	250	293	89	201	126	519	156	81	70	41	44	107	606	91	42	139
gene312	2	5	0	7	2	39	0	0	9	5	2	2	4	0	0	0
gene313	1	1	6	5	0	3	1	0	1	0	0	4	18	0	0	1
gene314	3	16	14	8	11	2	7	3	8	3	0	1	28	1	6	3
gene315	48076	111859	26154	65534	35807	161612	57416	37391	38735	25340	15987	33237	172981	23591	22188	57229
gene316	52	25	21	40	20	24	9	15	36	8	6	17	33	8	14	20
gene317	111	101	38	88	33	96	33	22	49	38	11	41	128	22	9	83
gene318	80	143	32	75	43	138	61	60	44	45	28	66	198	50	18	136
gene319	1018	821	546	883	354	2497	715	519	483	397	193	418	2347	301	278	933
gene320	20	13	10	9	20	54	16	11	18	7	2	11	21	2	4	13
gene321	1	8	1	2	5	3	0	6	1	4	0	1	2	0	0	21
gene322	95	134	108	170	29	332	79	67	47	39	37	59	331	44	28	114
gene323	218	360	96	199	56	335	124	108	99	111	43	85	397	60	60	214
gene324	17	5	16	4	2	17	9	8	4	7	4	10	39	2	2	8
gene325	37308	35117	19331	33545	18692	76957	29217	15632	23502	14054	11100	15473	104472	13024	8498	35002
gene326	45	129	19	88	19	108	12	11	18	21	16	35	143	15	14	61
gene327	28	1	3	16	12	47	6	1	19	8	0	3	13	0	0	5
gene328	422	490	184	323	150	751	236	251	243	134	58	151	746	194	142	363
gene329	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0
gene330	15	34	12	66	11	73	28	12	9	17	5	15	24	10	20	35
gene331	72	90	35	129	35	137	69	28	59	33	15	46	184	36	40	74
gene332	18	35	8	3	7	29	19	5	3	13	8	12	36	14	10	7
gene333	2088	1572	845	1330	944	3421	1565	767	1041	902	413	1112	3806	414	545	1676
gene334	35	17	13	38	17	87	18	8	17	8	10	16	44	13	15	17
gene335	1176	1328	459	1178	440	2729	805	447	1345	778	424	1509	2611	509	654	2264
gene336	4	1	0	8	0	4	4	8	2	0	0	0	1	3	0	0
gene337	1996	2710	723	1938	1249	4363	1420	1033	758	846	455	900	3346	672	443	1997
gene338	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	20
gene339	93	86	31	107	31	158	53	17	63	44	19	52	355	23	25	111
gene340	186	339	107	246	132	411	192	98	141	102	57	109	434	59	47	318
gene341	10	24	17	11	13	39	7	7	1	3	7	19	28	5	5	24
gene342	0	0	0	3	1	15	0	0	0	0	0	0	10	0	0	3
gene343	142	186	99	92	97	285	117	51	106	68	42	45	254	70	43	221
gene344	78	55	43	153	53	193	72	44	18	32	35	46	137	47	27	95
gene345	572	456	171	404	174	574	358	196	329	148	87	211	858	183	134	320
gene346	2864	3066	1179	2629	1260	7364	2357	1178	1690	860	608	1591	4514	836	886	3343
gene347	3	29	0	7	0	18	12	4	0	2	0	2	23	5	0	15
gene348	292	283	94	192	164	707	158	93	153	108	39	119	430	111	72	275
gene349	3	0	1	2	0	0	0	6	1	0	1	0	4	3	5	3
gene350	2005	1965	605	2057	649	3210	1391	626	1080	753	328	695	3442	585	518	1617
gene351	21	54	15	37	18	23	5	12	16	19	8	8	60	18	15	22
gene352	628	707	290	477	204	870	520	282	364	175	121	311	1297	189	147	681
gene353	433	563	194	433	177	976	436	197	286	135	129	237	1346	161	123	381
gene354	2	13	5	7	11	19	2	4	8	6	6	12	65	13	1	20
gene355	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
gene356	45	40	7	5	7	37	30	8	3	2	5	13	17	16	12	63
gene357	417	537	209	507	237	909	311	201	350	188	100	282	697	150	122	393
gene358	635	704	179	467	178	1279	278	243	314	249	161	287	891	146	192	599
gene359	1048	1585	576	1151	601	2416	908	613	548	443	323	748	2121	363	350	1014
gene360	6	16	2	16	1	1	0	1	6	2	5	0	30	0	1	9
gene361	51	79	32	48	21	62	49	42	37	21	13	10	81	22	7	82
gene362	267	342	151	289	97	331	209	129	55	32	15	25	130	28	16	86
gene363	48	7	3	14	5	39	5	6	1	2	2	2	27	9	1	17
gene364	34	10	17	16	9	29	9	0	8	0	9	2	22	7	5	15
gene365	178	370	112	178	107	425	200	137	131	111	54	159	334	81	56	125
