gene	lfcA	lfcB
gene709	0	0
gene710	0	0
gene711	0	0
gene712	0	0
gene713	0	-0.240465941753624
gene714	0	0
gene715	0	0
gene716	-0.683096163539303	0
gene717	0	0
gene718	0	0
gene719	0	0
gene720	0	0
gene721	0	0
gene722	0	0
gene723	0	0
gene724	-0.869990745548125	0
gene725	0	0
gene726	0	0
gene727	0	0
gene728	0	0
gene729	0.958970717632472	0
gene730	0	0
gene731	1.82512661211588	0
gene732	0	0
gene733	0	0
gene734	0	0
gene735	0	0
gene736	0	0
gene737	1.77494293209635	-0.835800378607147
gene738	0	0
gene739	0	0
gene740	0	0
gene741	0	0
gene742	0	0
gene743	0	0
gene744	0	0
gene745	0	0
gene746	0	0
gene747	0	0
gene748	0	0
gene749	0	0
gene750	0.492226689894339	0
gene751	0	0
gene752	-0.598347697802069	0
gene753	0	0
gene754	0	0
gene755	-0.0399742208860937	0
gene756	0	-1.30204586134734
gene757	1.45344922269914	0
gene758	0	0
gene759	0	0
gene760	0	0
gene761	0	0
gene762	0	0
gene763	0	0
gene764	0	0
gene765	0	0
gene766	0	0
gene767	0	0
gene768	0	0
gene769	0	0
gene770	0	0
gene771	0	0
gene772	0	0
gene773	0	0
gene774	0	0
gene775	0	0
gene776	0	0
gene777	0	0
gene778	0	-1.59346661453544
gene779	0	0
gene780	0	0
gene781	0	0
gene782	0	0
gene783	-1.61377442329546	0
gene784	0	0
gene785	0	0
gene786	0	0
gene787	0	0
gene788	0	0
gene789	0	0
gene790	-0.328088418430731	0
gene791	0	0
gene792	0	0
gene793	0	0
gene794	0.165779884102185	0
gene795	0	0
gene796	0	0
gene797	0	0
gene798	0	0
gene799	0	-1.31021490684429
gene800	2.72825170605062	0
gene801	0	0
gene802	0	0
gene803	0	0
gene804	0	0
gene805	0	0
gene806	0	0
gene807	0	0
gene808	0	2.58868669653798
gene809	0	0
gene810	0	0
gene811	0	0
gene812	0	0
gene813	0	0
gene814	0	0
gene815	0	0
gene816	0	0
gene817	0	0
gene818	0	0
gene819	0	0
gene820	1.96577033590204	0
gene821	0	0
gene822	-1.14313076656807	0
gene823	-1.1037025516197	0
gene824	0	0
gene825	0	0
gene826	0	0
gene827	0	0
gene828	0	0
gene829	0	0
gene830	0	0
gene831	0	0
gene832	0	-1.05514457612147
gene833	0	0
gene834	0	0
gene835	0	0
gene836	0	0
gene837	0	0
gene838	0	0
gene839	0	0
gene840	0	0
gene841	0	0
gene842	0	0
gene843	0	1.42636933810332
gene844	0	0
gene845	0	0
gene846	0	0
gene847	0	0
gene848	0	0
gene849	0	0
gene850	0	0
gene851	0	0
gene852	0	0
gene853	0	0
gene854	0	0
gene855	0	0
gene856	0	0
gene857	0	0
gene858	-0.362345084448027	0
gene859	0	0
gene860	0	-0.86485350773108
gene861	0	0
gene862	0	0
gene863	0	0
gene864	0	0
gene865	0	0
gene866	0	0
gene867	0	0
gene868	0	0
gene869	0	0
gene870	0	0
gene871	0	0.905261079343585
gene872	0.623271924289906	0
gene873	0	0
gene874	0	0
gene875	0.2702907273227	0
gene876	0	0
gene877	0	0
gene878	0	0
gene879	0	0
gene880	0	0
gene881	0	0
gene882	0	0
gene883	0	0
gene884	0	0
gene885	0	0
gene886	0	0
gene887	0	0
gene888	0	0
gene889	0	0
gene890	0	0
gene891	0	0
gene892	0	0
gene893	0	0
gene894	0	0
gene895	0	0
gene896	0	0
gene897	0	0
gene898	1.30401033272742	0
gene899	0	0
gene900	0	0
gene901	0	0
gene902	0	0
gene903	0	0
gene904	0	0
gene905	0	0
gene906	0	0
gene907	0	0
gene908	0	0
gene909	-0.225511267293333	0
gene910	0	0
gene911	0	0
gene912	0	0
gene913	0	0
gene914	-0.305004697890378	0
gene915	0	0
gene916	0	0
gene917	0	0
gene918	-0.316131375208916	0
gene919	0	0
gene920	0	0
gene921	0	0
gene922	0	0
gene923	0	0
gene924	0	0
gene925	0	0
gene926	0	0
gene927	0	0
gene928	0	0
gene929	0	0
gene930	0	0
gene931	0	0
gene932	0	0
gene933	0	0
gene934	0	0
gene935	0	0
gene936	0	0
gene937	0	0
gene938	0	0
gene939	0	0
gene940	-1.70069189505455	0
gene941	0	0
gene942	0	0
gene943	0	0
gene944	0	0
gene945	0	0
gene946	0	0
gene947	0	0
gene948	0.991226069756874	0
gene949	-1.3518572016424	0
gene950	0	0
gene951	0	0
gene952	0	0
gene953	0	0
gene954	0	0
gene955	0	0
gene956	0	0
gene957	1.02950680540533	0
gene958	0	0
gene959	0	0
gene960	0	0
gene961	0	0
gene962	0	0
gene963	0	0
gene964	0	0
gene965	0	0
gene966	0	0
gene967	0	0
gene968	0	0
gene969	0	-0.984976866073818
gene970	0	0
gene971	0	0
gene972	0	0
gene973	0	0
gene974	0	0
gene975	0	0
gene976	-1.57571206134647	0
gene977	0	0
gene978	0	0
gene979	0	0
gene980	0	0
gene981	0	0
gene982	0	0
gene983	0	0
gene984	0	0
gene985	0	0.419301907200157
gene986	0	0
gene987	0	0
gene988	0	0
gene989	0	0
gene990	0	0
gene991	0	0
gene992	0	0
gene993	0	0
gene994	0	0
gene995	-0.776366454626966	0
gene996	0	0
gene997	0.378873758484219	0
gene998	0	0
gene999	0	0
gene1000	0	0
gene1001	0	0
gene1002	0	0
gene1003	0.902677222291476	0
gene1004	0	0
gene1005	0.0513446990597609	0
gene1006	0	0
gene1007	0	0
gene1008	0	0
gene1009	0	0
gene1010	0	0
gene1011	0	0
gene1012	0	0
gene1013	0	0
gene1014	0	1.0217676550699
gene1015	0	-0.480318991443676
gene1016	0	0
gene1017	0	0
gene1018	0	0
gene1019	0	0
gene1020	0	0
gene1021	0	0
gene1022	0	0
gene1023	0	0.0575236082004836
gene1024	0	1.63222628757068
gene1025	0	0
gene1026	0	0
gene1027	0	0
gene1028	0	0
gene1029	0	0
gene1030	0	0
gene1031	0	0
gene1032	0	0
gene1033	0	0
gene1034	0	0
gene1035	0	0.401506052161914
gene1036	0	0
gene1037	0	0
gene1038	0	0.177495921237386
gene1039	0	0
gene1040	0	0
gene1041	0	0
gene1042	0	0
gene1043	0	-0.596401472669506
gene1044	0	0
gene1045	0	0
gene1046	0	0
gene1047	0	0
gene1048	0	0
gene1049	0	0
gene1050	0	0
gene1051	0	0
gene1052	0	0
gene1053	0	0
gene1054	0	0
gene1055	0	0
gene1056	0	0
gene1057	0	0
gene1058	0	0
gene1059	0	0
gene1060	-1.11716556989809	0
gene1061	0	0
gene1062	0	0
gene1063	0	0
gene1064	0	0
gene1065	0	0
gene1066	0	-1.63695499178336
gene1067	0	0
gene1068	0	0
gene1069	0	0
gene1070	0	0
gene1071	0	0
gene1072	0	0
gene1073	0	-0.852501051139556
gene1074	0	0
gene1075	0	0
gene1076	0	0
gene1077	0	0
gene1078	0	0
gene1079	0	0
gene1080	0	0
gene1081	0	0
gene1082	0	0
gene1083	0	0
gene1084	0	0
gene1085	0	0
gene1086	0	0
gene1087	0	0
gene1088	0	0
gene1089	0	0
gene1090	0	0
gene1091	0	0
gene1092	0	0
gene1093	0	0
gene1094	0.92103342420561	0
gene1095	0.425654337544311	0
gene1096	0	0
gene1097	0	0
gene1098	0	0
gene1099	0	0
gene1100	0	0
gene1101	0	0
gene1102	0	0
gene1103	0	0
gene1104	0	0
gene1105	0	0
gene1106	0	0
gene1107	0	0
gene1108	0	0
gene1109	0	0
gene1110	0	0
gene1111	0	0
gene1112	0	1.97166892745601
gene1113	0	0
gene1114	0	0.586599981986629
gene1115	0	-1.36150307905455
gene1116	0	0
gene1117	0	-0.640671720926812
gene1118	0	0
gene1119	0	0
gene1120	0	0
gene1121	0	0
gene1122	0	0
gene1123	0	0
gene1124	0	0
gene1125	0	0
gene1126	0	0
gene1127	0	0
gene1128	0.689805903173797	0
gene1129	0	0
gene1130	0	0
gene1131	0	0
gene1132	0.714944353723267	0
gene1133	0	0
gene1134	0	0
gene1135	0	0
gene1136	0	0
gene1137	0	0
gene1138	0	0
gene1139	0	0
gene1140	0	0
gene1141	0	0
gene1142	0	0
gene1143	0	0
gene1144	0	0
gene1145	0	-0.14622471154346
gene1146	0	0
gene1147	0	0
gene1148	0	0.147573402102415
gene1149	0	0
gene1150	0	0
gene1151	0	0
gene1152	0	0
gene1153	0	0
gene1154	0	0.644514025462927
gene1155	0	0
gene1156	0	0
gene1157	0	0
gene1158	2.17903033533117	0
gene1159	-0.724139726088387	0
gene1160	0	0
gene1161	0	0
gene1162	0	0
gene1163	0	0
gene1164	0	0
gene1165	0	0
gene1166	0	0
gene1167	0	0
gene1168	0	0
gene1169	0	0
gene1170	0	0
gene1171	0	0
gene1172	0	0
gene1173	0	0
gene1174	0	0
gene1175	0	-1.32884356748332
gene1176	0	0
gene1177	0	0
gene1178	0	0
gene1179	0	0
gene1180	0	0
gene1181	0	0
gene1182	0	0
gene1183	0	0.227141006036804
gene1184	0	0
gene1185	0	0
gene1186	0	0
gene1187	0	0
gene1188	0	0
gene1189	-0.569629110130566	1.67997993905279
gene1190	0	0
gene1191	0	0
gene1192	0	0
gene1193	0	-1.26130312069217
gene1194	-1.52628089401637	0
gene1195	0	0
gene1196	0	0
gene1197	0	0.874207783524998
gene1198	0	0
gene1199	0.681148804175659	0
gene1200	0	0
gene1201	0	0
gene1202	0	0
gene1203	0	0
gene1204	0	0
gene1205	0	-0.842661257541133
gene1206	0	0
gene1207	0	0
gene1208	0	0
gene1209	0	0
gene1210	0	0
gene1211	0	-2.31365105135462
gene1212	0	0
gene1213	0	0
gene1214	0	0.176868349426672
gene1215	0	0
gene1216	0	0
gene1217	0	0
gene1218	0	0
gene1219	0	0
gene1220	0	0
gene1221	0	0
gene1222	0	0
gene1223	0	0
gene1224	0	-1.07299059825279
gene1225	0	0.672327189165813
gene1226	0	0
gene1227	0	0
gene1228	0	0
gene1229	0	0
gene1230	0	0
gene1231	0	0
gene1232	0	0
gene1233	0	0
gene1234	0	0
gene1235	0	0
gene1236	0	0
gene1237	0	0
gene1238	0	0
gene1239	0	0
gene1240	0	0
gene1241	0	0
gene1242	0	0
gene1243	0	0
gene1244	0	0
gene1245	0	-1.58470463921389
gene1246	0	0
gene1247	0	0
gene1248	0	0
gene1249	0	0
gene1250	0	0
gene1251	0	0
gene1252	0	0
gene1253	0	0
gene1254	0	-1.33756803454415
gene1255	0	0
gene1256	0	0
gene1257	0	0
gene1258	0	0
gene1259	0	0
gene1260	0	0
gene1261	0	0
gene1262	0	0
gene1263	0	0
gene1264	0	0.239420747487086
gene1265	0	0
gene1266	0	0
gene1267	0	0
gene1268	0	0
gene1269	0	0
gene1270	0	0
gene1271	0	-0.0642763965992235
gene1272	0	0
gene1273	0	0
gene1274	0	0
gene1275	0	0
gene1276	0	0
gene1277	0	0
gene1278	0	0
gene1279	0	0
gene1280	0	0
gene1281	0	0
gene1282	0	0
gene1283	0	0
gene1284	0	0
gene1285	0	0
gene1286	0	0
gene1287	0	0
gene1288	0.000415241012882702	0
gene1289	0	0
gene1290	0	0
gene1291	0	0
gene1292	0	0
gene1293	0	0
gene1294	0	-1.37454932499262
gene1295	0	0
gene1296	0	0
gene1297	0	0
gene1298	0	0
gene1299	0	0
gene1300	0.23101628494918	0
gene1301	0	0
gene1302	0	0
gene1303	0	-0.00701124324337025
gene1304	0	0
gene1305	0	2.19715767127842
gene1306	0	1.56372993619564
gene1307	0	0
gene1308	0	0
gene1309	0	0
gene1310	0	0
gene1311	0	0
gene1312	0	-0.384509080196876
gene1313	0	0
gene1314	0	0.575976144095525
gene1315	0	0
gene1316	0	0
gene1317	0	0.634959824659264
gene1318	0	0
gene1319	0	0
gene1320	0	0
gene1321	0	0
gene1322	0	0
gene1323	0	0
gene1324	0.757130549069381	0
gene1325	0	0
gene1326	0	0
gene1327	0	0
gene1328	0	0
gene1329	0	0
gene1330	0	0
gene1331	0	1.56754505767983
gene1332	0	0
gene1333	0	0
gene1334	0	0
gene1335	0	0
gene1336	0	0
gene1337	0	0
gene1338	0	0
gene1339	0	0
gene1340	0	0
gene1341	0	0
gene1342	0	0
gene1343	0	0.321193395179275
gene1344	0	0
gene1345	0	0
gene1346	0	0
gene1347	0	0
gene1348	0	0
gene1349	0	0
gene1350	0	0
gene1351	0	0
gene1352	0	0
gene1353	0	0
gene1354	0	0
gene1355	0	0.792787525707282
gene1356	0	0
gene1357	0	0
gene1358	0	0
gene1359	0	0
gene1360	-0.421882991676462	0
gene1361	0	0
gene1362	0	0
gene1363	-0.351720745896872	0
gene1364	0	0
gene1365	0	0
gene1366	-1.5671964325785	0
gene1367	0	0
gene1368	0	2.22828716992909
gene1369	0	0
gene1370	0	0
gene1371	0	1.05711576426598
gene1372	0	0
gene1373	0	0
gene1374	0	0
gene1375	0	0
gene1376	0	0
gene1377	0	0
gene1378	0	-0.525363298138436
gene1379	0	0
gene1380	0	0
gene1381	0	0
gene1382	0	0
gene1383	0	0
gene1384	0	0
gene1385	0	0
gene1386	-1.86887421713355	0
gene1387	0	0
gene1388	0	0
gene1389	0	0
gene1390	0	0
gene1391	0	0
gene1392	0	0.261342279428904
gene1393	0	0
gene1394	0	0
gene1395	0	0
gene1396	0	0
gene1397	0	0
gene1398	0	0
gene1399	0.174917415083606	0
gene1400	0	0
gene1401	0	0
gene1402	1.58444695330464	0
gene1403	0	0
gene1404	0	0.770797152496506
gene1405	0	0
gene1406	0	0
gene1407	0	0
gene1408	0	0
gene1409	0	0
gene1410	0	0
gene1411	0	0
gene1412	0	0
gene1413	0	0
gene1414	0	-0.825782034834852
gene1415	0	0
gene1416	0	0
gene1417	0	0
gene1418	0	0
gene1419	0	0
gene1420	0	0
gene1421	0	0
gene1422	0	0
gene1423	0	0
gene1424	0	0
gene1425	0	0
gene1426	0	0
gene1427	0	0
gene1428	0	0
gene1429	0	0
gene1430	0	0
gene1431	0	-1.11212795251391
gene1432	0	0
gene1433	0	0
gene1434	0	0
gene1435	0	0
gene1436	0	0
gene1437	0.198188894399197	0
gene1438	0	0
gene1439	0	0
gene1440	0	0
gene1441	0	0
gene1442	0	0
gene1443	0	0
gene1444	0	0
gene1445	0	0
gene1446	0	0
gene1447	0	0
gene1448	0	0
gene1449	0	0
gene1450	0	0
gene1451	0	0
gene1452	0	0
gene1453	0	0
gene1454	0	0
gene1455	0	0
gene1456	0	0
gene1457	-0.737245550415005	0
gene1458	0	0
gene1459	0	0
gene1460	0	0
gene1461	0	0.314083231105356
gene1462	0	0
gene1463	0	0
gene1464	0	0
gene1465	0	0
gene1466	-0.396361277783103	0
gene1467	0	-0.107789450400215
gene1468	0	0
gene1469	0	0
gene1470	0	0
gene1471	0	0
gene1472	0	0
gene1473	0	0
gene1474	0	0
gene1475	0.000855264598643274	0
gene1476	0	0
gene1477	0	0
gene1478	0	0
gene1479	0	0
gene1480	0	0
gene1481	0	0
gene1482	0	0
gene1483	0	0
gene1484	0	0
gene1485	0	0
gene1486	0	0
gene1487	0	0
gene1488	0	0
gene1489	0	0
gene1490	0	0
gene1491	0	0
gene1492	0	0
gene1493	0	0
gene1494	0	0
gene1495	0	0
gene1496	-1.46185365999069	0
gene1497	0	0
